edr,edr_chave,oeste,sul,leste,norte,cafe_ha
Araraquara,ARARAQUARA,-48.500935924224386,-21.620637815838194,-48.450809931370515,-21.570511822984326,84.3
Araraquara,ARARAQUARA,-48.500935924224386,-21.670763808692065,-48.450809931370515,-21.620637815838194,94.1
Araraquara,ARARAQUARA,-48.40068393851664,-21.821141787253673,-48.35055794566278,-21.771015794399805,93.5
Araraquara,ARARAQUARA,-47.74904603141634,-22.02164575866915,-47.69892003856248,-21.97151976581528,34.3
Araraquara,ARARAQUARA,-47.79917202427021,-22.07177175152302,-47.74904603141634,-22.02164575866915,30.1
Araçatuba,ARACATUBA,-50.021991430285695,-21.281386184922212,-49.97186543743182,-21.231260192068344,139.6
Assis,ASSIS,-50.63151847943784,-22.47089357499037,-50.58139248658397,-22.420767582136502,78.7
Assis,ASSIS,-50.58139248658397,-22.47089357499037,-50.5312664937301,-22.420767582136502,62.9
Assis,ASSIS,-50.230510536606886,-22.47089357499037,-50.180384543753014,-22.420767582136502,57.5
Assis,ASSIS,-50.63151847943784,-22.52101956784424,-50.58139248658397,-22.47089357499037,35.3
Assis,ASSIS,-50.38088851516849,-22.52101956784424,-50.33076252231462,-22.47089357499037,50.7
Assis,ASSIS,-50.28063652946075,-22.52101956784424,-50.230510536606886,-22.47089357499037,56.9
Assis,ASSIS,-50.230510536606886,-22.52101956784424,-50.180384543753014,-22.47089357499037,34.8
Assis,ASSIS,-50.180384543753014,-22.52101956784424,-50.13025855089914,-22.47089357499037,74.5
Assis,ASSIS,-50.13025855089914,-22.52101956784424,-50.08013255804528,-22.47089357499037,46.0
Assis,ASSIS,-50.43101450802236,-22.57114556069811,-50.38088851516849,-22.52101956784424,38.4
Assis,ASSIS,-50.33076252231462,-22.57114556069811,-50.28063652946075,-22.52101956784424,110.4
Assis,ASSIS,-50.28063652946075,-22.57114556069811,-50.230510536606886,-22.52101956784424,62.4
Assis,ASSIS,-50.230510536606886,-22.57114556069811,-50.180384543753014,-22.52101956784424,65.9
Assis,ASSIS,-50.180384543753014,-22.57114556069811,-50.13025855089914,-22.52101956784424,158.0
Assis,ASSIS,-50.48114050087623,-22.621271553551978,-50.43101450802236,-22.57114556069811,122.2
Assis,ASSIS,-50.43101450802236,-22.621271553551978,-50.38088851516849,-22.57114556069811,145.3
Assis,ASSIS,-50.38088851516849,-22.621271553551978,-50.33076252231462,-22.57114556069811,81.2
Assis,ASSIS,-50.33076252231462,-22.621271553551978,-50.28063652946075,-22.57114556069811,62.1
Assis,ASSIS,-50.28063652946075,-22.621271553551978,-50.230510536606886,-22.57114556069811,38.0
Assis,ASSIS,-50.230510536606886,-22.621271553551978,-50.180384543753014,-22.57114556069811,108.3
Assis,ASSIS,-50.180384543753014,-22.621271553551978,-50.13025855089914,-22.57114556069811,41.8
Assis,ASSIS,-50.48114050087623,-22.67139754640585,-50.43101450802236,-22.621271553551978,40.9
Assis,ASSIS,-50.43101450802236,-22.67139754640585,-50.38088851516849,-22.621271553551978,38.0
Assis,ASSIS,-50.38088851516849,-22.67139754640585,-50.33076252231462,-22.621271553551978,66.0
Avaré,AVARE,-49.379164414235234,-22.816673357517608,-49.32903842138136,-22.76654736466374,83.9
Avaré,AVARE,-49.12853444996588,-22.816673357517608,-49.07840845711201,-22.76654736466374,62.7
Avaré,AVARE,-49.07840845711201,-22.816673357517608,-49.02828246425815,-22.76654736466374,32.9
Avaré,AVARE,-49.379164414235234,-22.866799350371476,-49.32903842138136,-22.816673357517608,170.8
Avaré,AVARE,-49.12853444996588,-22.866799350371476,-49.07840845711201,-22.816673357517608,112.9
Avaré,AVARE,-49.07840845711201,-22.866799350371476,-49.02828246425815,-22.816673357517608,33.1
Avaré,AVARE,-49.02828246425815,-22.866799350371476,-48.978156471404276,-22.816673357517608,73.4
Avaré,AVARE,-49.02828246425815,-22.916925343225348,-48.978156471404276,-22.866799350371476,64.8
Avaré,AVARE,-48.978156471404276,-22.916925343225348,-48.928030478550404,-22.866799350371476,128.5
Avaré,AVARE,-49.27891242852749,-22.967051336079216,-49.228786435673626,-22.916925343225348,40.7
Avaré,AVARE,-49.02828246425815,-22.967051336079216,-48.978156471404276,-22.916925343225348,34.2
Avaré,AVARE,-49.12853444996588,-23.017177328933087,-49.07840845711201,-22.967051336079216,41.1
Avaré,AVARE,-49.07840845711201,-23.017177328933087,-49.02828246425815,-22.967051336079216,30.9
Avaré,AVARE,-48.82777849284267,-23.017177328933087,-48.7776524999888,-22.967051336079216,60.7
Avaré,AVARE,-49.379164414235234,-23.067303321786955,-49.32903842138136,-23.017177328933087,120.0
Avaré,AVARE,-49.32903842138136,-23.067303321786955,-49.27891242852749,-23.017177328933087,176.1
Avaré,AVARE,-49.27891242852749,-23.067303321786955,-49.228786435673626,-23.017177328933087,89.4
Avaré,AVARE,-49.12853444996588,-23.067303321786955,-49.07840845711201,-23.017177328933087,117.0
Avaré,AVARE,-49.07840845711201,-23.067303321786955,-49.02828246425815,-23.017177328933087,64.6
Avaré,AVARE,-49.02828246425815,-23.067303321786955,-48.978156471404276,-23.017177328933087,256.6
Avaré,AVARE,-48.978156471404276,-23.067303321786955,-48.928030478550404,-23.017177328933087,65.1
Avaré,AVARE,-48.87790448569654,-23.067303321786955,-48.82777849284267,-23.017177328933087,84.9
Avaré,AVARE,-49.27891242852749,-23.117429314640823,-49.228786435673626,-23.067303321786955,94.7
Avaré,AVARE,-49.12853444996588,-23.117429314640823,-49.07840845711201,-23.067303321786955,167.6
Avaré,AVARE,-49.07840845711201,-23.117429314640823,-49.02828246425815,-23.067303321786955,95.1
Avaré,AVARE,-49.02828246425815,-23.117429314640823,-48.978156471404276,-23.067303321786955,35.6
Avaré,AVARE,-49.178660442819755,-23.167555307494695,-49.12853444996588,-23.117429314640823,46.1
Avaré,AVARE,-49.12853444996588,-23.167555307494695,-49.07840845711201,-23.117429314640823,67.2
Avaré,AVARE,-49.02828246425815,-23.167555307494695,-48.978156471404276,-23.117429314640823,279.2
Avaré,AVARE,-48.7776524999888,-23.167555307494695,-48.72752650713493,-23.117429314640823,118.8
Avaré,AVARE,-49.12853444996588,-23.217681300348563,-49.07840845711201,-23.167555307494695,30.5
Avaré,AVARE,-49.12853444996588,-23.26780729320243,-49.07840845711201,-23.217681300348563,104.3
Avaré,AVARE,-49.228786435673626,-23.36805927891017,-49.178660442819755,-23.317933286056302,39.1
Avaré,AVARE,-49.178660442819755,-23.36805927891017,-49.12853444996588,-23.317933286056302,129.8
Avaré,AVARE,-49.12853444996588,-23.36805927891017,-49.07840845711201,-23.317933286056302,180.1
Avaré,AVARE,-48.928030478550404,-23.36805927891017,-48.87790448569654,-23.317933286056302,36.9
Avaré,AVARE,-49.379164414235234,-23.46831126461791,-49.32903842138136,-23.41818527176404,186.7
Avaré,AVARE,-49.32903842138136,-23.46831126461791,-49.27891242852749,-23.41818527176404,173.1
Avaré,AVARE,-48.928030478550404,-23.46831126461791,-48.87790448569654,-23.41818527176404,53.1
Avaré,AVARE,-49.4292904070891,-23.56856325032565,-49.379164414235234,-23.518437257471778,59.5
Avaré,AVARE,-49.379164414235234,-23.56856325032565,-49.32903842138136,-23.518437257471778,57.6
Avaré,AVARE,-49.32903842138136,-23.56856325032565,-49.27891242852749,-23.518437257471778,118.3
Avaré,AVARE,-48.928030478550404,-23.56856325032565,-48.87790448569654,-23.518437257471778,46.5
Avaré,AVARE,-49.07840845711201,-23.668815236033385,-49.02828246425815,-23.618689243179517,33.7
Barretos,BARRETOS,-48.86862521221029,-20.67714871194305,-48.818499219356426,-20.627022719089183,82.1
Barretos,BARRETOS,-48.818499219356426,-20.67714871194305,-48.768373226502554,-20.627022719089183,38.3
Barretos,BARRETOS,-48.96887719791803,-20.77740069765079,-48.91875120506416,-20.72727470479692,54.9
Bauru,BAURU,-49.22112587783074,-21.995878729465232,-49.17099988497687,-21.94575273661136,73.9
Bauru,BAURU,-49.27125187068461,-22.0460047223191,-49.22112587783074,-21.995878729465232,98.2
Bauru,BAURU,-49.22112587783074,-22.0460047223191,-49.17099988497687,-21.995878729465232,246.9
Bauru,BAURU,-49.17099988497687,-22.0460047223191,-49.120873892123,-21.995878729465232,86.1
Bauru,BAURU,-49.22112587783074,-22.09613071517297,-49.17099988497687,-22.0460047223191,104.0
Bauru,BAURU,-49.37150385639235,-22.14625670802684,-49.32137786353848,-22.09613071517297,123.9
Bauru,BAURU,-49.17099988497687,-22.14625670802684,-49.120873892123,-22.09613071517297,50.6
Bauru,BAURU,-48.97049591356139,-22.14625670802684,-48.92036992070752,-22.09613071517297,81.6
Bauru,BAURU,-48.92036992070752,-22.14625670802684,-48.87024392785366,-22.09613071517297,40.3
Bauru,BAURU,-49.17099988497687,-22.246508693734576,-49.120873892123,-22.196382700880708,40.7
Bauru,BAURU,-49.47175584210009,-22.346760679442315,-49.421629849246216,-22.296634686588447,30.4
Bauru,BAURU,-49.57200782780782,-22.447012665150055,-49.52188183495396,-22.396886672296187,43.5
Bauru,BAURU,-49.421629849246216,-22.447012665150055,-49.37150385639235,-22.396886672296187,33.9
Bauru,BAURU,-49.020621906415265,-22.447012665150055,-48.97049591356139,-22.396886672296187,36.3
Bauru,BAURU,-49.7725117992233,-22.497138658003923,-49.72238580636943,-22.447012665150055,44.2
Bauru,BAURU,-49.57200782780782,-22.497138658003923,-49.52188183495396,-22.447012665150055,63.1
Bauru,BAURU,-49.37150385639235,-22.497138658003923,-49.32137786353848,-22.447012665150055,47.5
Bauru,BAURU,-49.17099988497687,-22.497138658003923,-49.120873892123,-22.447012665150055,71.6
Bauru,BAURU,-49.120873892123,-22.497138658003923,-49.07074789926913,-22.447012665150055,65.1
Bauru,BAURU,-49.07074789926913,-22.497138658003923,-49.020621906415265,-22.447012665150055,56.1
Bauru,BAURU,-49.47175584210009,-22.547264650857795,-49.421629849246216,-22.497138658003923,49.0
Bauru,BAURU,-49.72238580636943,-22.597390643711663,-49.672259813515566,-22.547264650857795,43.7
Bauru,BAURU,-49.622133820661695,-22.597390643711663,-49.57200782780782,-22.547264650857795,46.2
Bauru,BAURU,-49.47175584210009,-22.597390643711663,-49.421629849246216,-22.547264650857795,38.8
Bauru,BAURU,-49.32137786353848,-22.597390643711663,-49.27125187068461,-22.547264650857795,51.3
Bauru,BAURU,-49.32137786353848,-22.74776862227327,-49.27125187068461,-22.697642629419402,47.2
Bauru,BAURU,-49.07074789926913,-22.74776862227327,-49.020621906415265,-22.697642629419402,59.2
Botucatu,BOTUCATU,-48.70181433170731,-22.732734402524812,-48.65168833885344,-22.682608409670944,40.7
Botucatu,BOTUCATU,-48.70181433170731,-22.782860395378684,-48.65168833885344,-22.732734402524812,36.1
Botucatu,BOTUCATU,-48.65168833885344,-22.782860395378684,-48.601562345999575,-22.732734402524812,42.7
Botucatu,BOTUCATU,-48.70181433170731,-22.832986388232552,-48.65168833885344,-22.782860395378684,67.2
Botucatu,BOTUCATU,-48.65168833885344,-22.832986388232552,-48.601562345999575,-22.782860395378684,38.7
Botucatu,BOTUCATU,-48.70181433170731,-22.883112381086423,-48.65168833885344,-22.832986388232552,58.9
Botucatu,BOTUCATU,-48.65168833885344,-22.883112381086423,-48.601562345999575,-22.832986388232552,84.0
Botucatu,BOTUCATU,-48.75194032456118,-22.93323837394029,-48.70181433170731,-22.883112381086423,32.3
Botucatu,BOTUCATU,-48.70181433170731,-22.93323837394029,-48.65168833885344,-22.883112381086423,189.5
Botucatu,BOTUCATU,-48.75194032456118,-22.98336436679416,-48.70181433170731,-22.93323837394029,35.5
Botucatu,BOTUCATU,-48.70181433170731,-22.98336436679416,-48.65168833885344,-22.93323837394029,41.9
Botucatu,BOTUCATU,-48.75194032456118,-23.133742345355767,-48.70181433170731,-23.0836163525019,35.0
Botucatu,BOTUCATU,-48.401058374584096,-23.133742345355767,-48.350932381730225,-23.0836163525019,32.5
Botucatu,BOTUCATU,-48.75194032456118,-23.18386833820964,-48.70181433170731,-23.133742345355767,31.2
Bragança Paulista,BRAGANCA PAULISTA,-46.756943959216876,-22.585844905444016,-46.70681796636301,-22.53571891259015,60.3
Bragança Paulista,BRAGANCA PAULISTA,-46.70681796636301,-22.585844905444016,-46.65669197350914,-22.53571891259015,53.7
Bragança Paulista,BRAGANCA PAULISTA,-46.65669197350914,-22.585844905444016,-46.60656598065527,-22.53571891259015,63.8
Bragança Paulista,BRAGANCA PAULISTA,-46.50631399494753,-22.585844905444016,-46.45618800209366,-22.53571891259015,34.7
Bragança Paulista,BRAGANCA PAULISTA,-46.45618800209366,-22.585844905444016,-46.40606200923979,-22.53571891259015,51.8
Bragança Paulista,BRAGANCA PAULISTA,-46.80706995207075,-22.635970898297884,-46.756943959216876,-22.585844905444016,30.5
Bragança Paulista,BRAGANCA PAULISTA,-46.756943959216876,-22.635970898297884,-46.70681796636301,-22.585844905444016,53.9
Bragança Paulista,BRAGANCA PAULISTA,-46.70681796636301,-22.635970898297884,-46.65669197350914,-22.585844905444016,204.9
Bragança Paulista,BRAGANCA PAULISTA,-46.65669197350914,-22.635970898297884,-46.60656598065527,-22.585844905444016,124.0
Bragança Paulista,BRAGANCA PAULISTA,-46.756943959216876,-22.686096891151756,-46.70681796636301,-22.635970898297884,38.4
Bragança Paulista,BRAGANCA PAULISTA,-46.70681796636301,-22.686096891151756,-46.65669197350914,-22.635970898297884,43.0
Bragança Paulista,BRAGANCA PAULISTA,-46.65669197350914,-22.686096891151756,-46.60656598065527,-22.635970898297884,154.0
Bragança Paulista,BRAGANCA PAULISTA,-46.60656598065527,-22.686096891151756,-46.556439987801404,-22.635970898297884,74.1
Bragança Paulista,BRAGANCA PAULISTA,-46.25568403067818,-22.936726855421103,-46.20555803782432,-22.88660086256723,30.8
Bragança Paulista,BRAGANCA PAULISTA,-46.155432044970446,-22.98685284827497,-46.105306052116575,-22.936726855421103,32.8
Catanduva,CATANDUVA,-49.223393870717366,-20.932984379358455,-49.173267877863495,-20.882858386504587,96.8
Catanduva,CATANDUVA,-49.12314188500962,-20.932984379358455,-49.07301589215575,-20.882858386504587,80.9
Catanduva,CATANDUVA,-49.07301589215575,-20.932984379358455,-49.02288989930189,-20.882858386504587,58.0
Catanduva,CATANDUVA,-49.12314188500962,-20.983110372212323,-49.07301589215575,-20.932984379358455,99.8
Catanduva,CATANDUVA,-49.07301589215575,-20.983110372212323,-49.02288989930189,-20.932984379358455,215.1
Catanduva,CATANDUVA,-49.02288989930189,-20.983110372212323,-48.972763906448016,-20.932984379358455,75.5
