edr,edr_chave,oeste,sul,leste,norte,cafe_ha
Araraquara,ARARAQUARA,-47.94955000283182,-21.670763808692065,-47.89942400997795,-21.620637815838194,785.4
Araraquara,ARARAQUARA,-47.89942400997795,-21.670763808692065,-47.849298017124084,-21.620637815838194,340.2
Araraquara,ARARAQUARA,-48.500935924224386,-21.720889801545933,-48.450809931370515,-21.670763808692065,356.1
Araraquara,ARARAQUARA,-48.450809931370515,-21.720889801545933,-48.40068393851664,-21.670763808692065,647.6
Araraquara,ARARAQUARA,-48.40068393851664,-21.720889801545933,-48.35055794566278,-21.670763808692065,900.7
Araraquara,ARARAQUARA,-47.99967599568569,-21.720889801545933,-47.94955000283182,-21.670763808692065,66.9
Araraquara,ARARAQUARA,-47.94955000283182,-21.720889801545933,-47.89942400997795,-21.670763808692065,216.3
Araraquara,ARARAQUARA,-47.89942400997795,-21.720889801545933,-47.849298017124084,-21.670763808692065,85.6
Araraquara,ARARAQUARA,-47.74904603141634,-21.720889801545933,-47.69892003856248,-21.670763808692065,69.8
Araraquara,ARARAQUARA,-48.500935924224386,-21.771015794399805,-48.450809931370515,-21.720889801545933,923.3
Araraquara,ARARAQUARA,-48.450809931370515,-21.771015794399805,-48.40068393851664,-21.720889801545933,1468.9
Araraquara,ARARAQUARA,-48.40068393851664,-21.771015794399805,-48.35055794566278,-21.720889801545933,1297.1
Araraquara,ARARAQUARA,-48.35055794566278,-21.771015794399805,-48.30043195280891,-21.720889801545933,33.5
Araraquara,ARARAQUARA,-47.94955000283182,-21.771015794399805,-47.89942400997795,-21.720889801545933,94.6
Araraquara,ARARAQUARA,-47.79917202427021,-21.771015794399805,-47.74904603141634,-21.720889801545933,205.7
Araraquara,ARARAQUARA,-47.74904603141634,-21.771015794399805,-47.69892003856248,-21.720889801545933,1686.1
Araraquara,ARARAQUARA,-47.69892003856248,-21.771015794399805,-47.648794045708605,-21.720889801545933,164.3
Araraquara,ARARAQUARA,-48.500935924224386,-21.821141787253673,-48.450809931370515,-21.771015794399805,136.7
Araraquara,ARARAQUARA,-48.450809931370515,-21.821141787253673,-48.40068393851664,-21.771015794399805,637.1
Araraquara,ARARAQUARA,-48.40068393851664,-21.821141787253673,-48.35055794566278,-21.771015794399805,285.1
Araraquara,ARARAQUARA,-47.99967599568569,-21.821141787253673,-47.94955000283182,-21.771015794399805,50.4
Araraquara,ARARAQUARA,-47.94955000283182,-21.821141787253673,-47.89942400997795,-21.771015794399805,37.1
Araraquara,ARARAQUARA,-47.69892003856248,-21.821141787253673,-47.648794045708605,-21.771015794399805,216.5
Araraquara,ARARAQUARA,-48.65131390278599,-21.87126778010754,-48.60118790993212,-21.821141787253673,549.8
Araraquara,ARARAQUARA,-48.60118790993212,-21.87126778010754,-48.55106191707825,-21.821141787253673,32.9
