edr_chave,ano,janela,ndvi,n_cenas
ARARAQUARA,2017,florada,,0
ARARAQUARA,2017,enchimento,0.7432,3
ARARAQUARA,2018,florada,0.451,3
ARARAQUARA,2018,enchimento,0.6949,3
ARARAQUARA,2019,florada,0.5814,3
ARARAQUARA,2019,enchimento,0.6704,3
ARARAQUARA,2020,florada,0.5407,3
ARARAQUARA,2020,enchimento,0.6819,3
ARARAQUARA,2021,florada,0.4259,3
ARARAQUARA,2021,enchimento,0.696,3
ARARAQUARA,2022,florada,0.4012,3
ARARAQUARA,2022,enchimento,0.6459,3
ARARAQUARA,2023,florada,0.5124,3
ARARAQUARA,2023,enchimento,0.7226,3
ARARAQUARA,2024,florada,0.6734,3
ARARAQUARA,2024,enchimento,0.7502,3
ARARAQUARA,2025,florada,0.457,3
ARARAQUARA,2025,enchimento,0.7543,3
ARARAQUARA,2026,florada,0.5047,3
ARARAQUARA,2026,enchimento,0.7432,3
AVARE,2017,florada,,0
AVARE,2017,enchimento,0.7901,1
AVARE,2018,florada,0.635,3
AVARE,2018,enchimento,0.7852,3
AVARE,2019,florada,0.6749,3
AVARE,2019,enchimento,0.7769,3
AVARE,2020,florada,0.6294,3
AVARE,2020,enchimento,0.7902,3
AVARE,2021,florada,0.6007,3
AVARE,2021,enchimento,0.805,3
AVARE,2022,florada,0.5403,3
AVARE,2022,enchimento,0.7715,3
AVARE,2023,florada,0.6864,3
AVARE,2023,enchimento,0.8059,3
AVARE,2024,florada,0.646,3
AVARE,2024,enchimento,0.7634,3
AVARE,2025,florada,0.5898,3
AVARE,2025,enchimento,0.7696,3
AVARE,2026,florada,0.63,3
AVARE,2026,enchimento,0.7632,3
BARRETOS,2017,florada,,0
BARRETOS,2017,enchimento,0.7343,3
BARRETOS,2018,florada,0.6067,3
BARRETOS,2018,enchimento,0.7732,3
BARRETOS,2019,florada,0.5504,3
BARRETOS,2019,enchimento,0.7779,3
BARRETOS,2020,florada,0.5684,3
BARRETOS,2020,enchimento,0.798,3
BARRETOS,2021,florada,0.5487,3
BARRETOS,2021,enchimento,0.7526,3
BARRETOS,2022,florada,0.5257,3
BARRETOS,2022,enchimento,0.6887,3
BARRETOS,2023,florada,0.5915,3
BARRETOS,2023,enchimento,0.805,3
BARRETOS,2024,florada,0.5834,3
BARRETOS,2024,enchimento,0.7679,3
BARRETOS,2025,florada,0.4516,3
BARRETOS,2025,enchimento,0.8039,3
BARRETOS,2026,florada,0.5897,3
BARRETOS,2026,enchimento,0.7779,3
BAURU,2017,florada,,0
BAURU,2017,enchimento,0.7445,3
BAURU,2018,florada,0.5364,3
BAURU,2018,enchimento,0.7351,3
BAURU,2019,florada,0.6285,3
BAURU,2019,enchimento,0.707,3
BAURU,2020,florada,0.6077,3
BAURU,2020,enchimento,0.6894,3
BAURU,2021,florada,0.5705,3
BAURU,2021,enchimento,0.7163,3
BAURU,2022,florada,0.439,3
BAURU,2022,enchimento,0.6992,3
BAURU,2023,florada,0.6801,3
BAURU,2023,enchimento,0.7015,3
BAURU,2024,florada,0.5908,3
BAURU,2024,enchimento,0.7266,3
BAURU,2025,florada,0.5087,3
BAURU,2025,enchimento,0.7236,3
BAURU,2026,florada,0.4927,3
BAURU,2026,enchimento,0.7358,3
BOTUCATU,2017,florada,,0
BOTUCATU,2017,enchimento,0.6788,2
BOTUCATU,2018,florada,0.6709,3
BOTUCATU,2018,enchimento,0.7691,3
BOTUCATU,2019,florada,0.6915,3
BOTUCATU,2019,enchimento,0.7775,3
BOTUCATU,2020,florada,0.6761,3
BOTUCATU,2020,enchimento,0.8016,3
BOTUCATU,2021,florada,0.6183,3
BOTUCATU,2021,enchimento,0.7683,3
BOTUCATU,2022,florada,0.5422,3
BOTUCATU,2022,enchimento,0.7502,3
BOTUCATU,2023,florada,0.6349,3
BOTUCATU,2023,enchimento,0.6903,3
BOTUCATU,2024,florada,0.6919,3
BOTUCATU,2024,enchimento,0.7419,3
BOTUCATU,2025,florada,0.5454,3
BOTUCATU,2025,enchimento,0.7395,3
BOTUCATU,2026,florada,0.5133,3
BOTUCATU,2026,enchimento,0.7509,3
FERNANDOPOLIS,2017,florada,,0
FERNANDOPOLIS,2017,enchimento,0.7163,3
FERNANDOPOLIS,2018,florada,0.4405,3
FERNANDOPOLIS,2018,enchimento,0.5988,3
FERNANDOPOLIS,2019,florada,0.4159,3
FERNANDOPOLIS,2019,enchimento,0.6834,3
FERNANDOPOLIS,2020,florada,0.4526,3
FERNANDOPOLIS,2020,enchimento,0.7471,3
FERNANDOPOLIS,2021,florada,0.3228,3
FERNANDOPOLIS,2021,enchimento,0.6558,3
FERNANDOPOLIS,2022,florada,0.4246,3
FERNANDOPOLIS,2022,enchimento,0.5548,3
FERNANDOPOLIS,2023,florada,0.4526,3
FERNANDOPOLIS,2023,enchimento,0.6818,3
FERNANDOPOLIS,2024,florada,0.5109,3
FERNANDOPOLIS,2024,enchimento,0.6772,3
FERNANDOPOLIS,2025,florada,0.316,3
FERNANDOPOLIS,2025,enchimento,0.6584,3
FERNANDOPOLIS,2026,florada,0.3552,3
FERNANDOPOLIS,2026,enchimento,0.6395,3
FRANCA,2017,florada,,0
FRANCA,2017,enchimento,0.7862,2
FRANCA,2018,florada,0.5033,3
