edr_chave,ano,janela,ndvi,n_cenas
ARARAQUARA,2017,florada,,0
ARARAQUARA,2017,enchimento,0.7267,1
ARARAQUARA,2018,florada,0.4927,3
ARARAQUARA,2018,enchimento,0.7311,3
ARARAQUARA,2019,florada,0.4629,3
ARARAQUARA,2019,enchimento,0.7122,3
ARARAQUARA,2020,florada,0.5221,3
ARARAQUARA,2020,enchimento,0.7701,3
ARARAQUARA,2021,florada,0.4427,3
ARARAQUARA,2021,enchimento,0.7183,3
ARARAQUARA,2022,florada,0.4417,3
ARARAQUARA,2022,enchimento,0.6439,3
ARARAQUARA,2023,florada,0.4975,3
ARARAQUARA,2023,enchimento,0.5706,2
ARARAQUARA,2024,florada,0.5996,3
ARARAQUARA,2024,enchimento,0.7507,3
ARARAQUARA,2025,florada,0.4182,3
ARARAQUARA,2025,enchimento,0.6913,3
ARARAQUARA,2026,florada,0.4757,3
ARARAQUARA,2026,enchimento,0.6906,3
AVARE,2017,florada,,0
AVARE,2017,enchimento,0.7001,3
AVARE,2018,florada,0.5075,3
AVARE,2018,enchimento,0.6902,3
AVARE,2019,florada,0.5533,3
AVARE,2019,enchimento,0.7051,3
AVARE,2020,florada,0.5094,3
AVARE,2020,enchimento,0.6668,3
AVARE,2021,florada,0.4677,3
AVARE,2021,enchimento,0.6549,3
AVARE,2022,florada,0.4503,3
AVARE,2022,enchimento,0.7183,3
AVARE,2023,florada,0.5365,3
AVARE,2023,enchimento,0.6723,3
AVARE,2024,florada,0.5096,3
AVARE,2024,enchimento,0.6781,3
AVARE,2025,florada,0.4244,3
AVARE,2025,enchimento,0.7371,3
AVARE,2026,florada,0.4673,3
AVARE,2026,enchimento,0.66,3
BAURU,2017,florada,,0
BAURU,2017,enchimento,0.8016,3
BAURU,2018,florada,0.6312,3
BAURU,2018,enchimento,0.8023,3
BAURU,2019,florada,0.6773,3
BAURU,2019,enchimento,0.7639,3
BAURU,2020,florada,0.6197,3
BAURU,2020,enchimento,0.7962,3
BAURU,2021,florada,0.5493,3
BAURU,2021,enchimento,0.7676,3
BAURU,2022,florada,0.5482,3
BAURU,2022,enchimento,0.6825,3
BAURU,2023,florada,0.613,3
BAURU,2023,enchimento,0.7673,3
BAURU,2024,florada,0.6675,3
BAURU,2024,enchimento,0.7387,3
BAURU,2025,florada,0.4792,3
BAURU,2025,enchimento,0.6714,3
BAURU,2026,florada,0.5289,3
BAURU,2026,enchimento,0.6966,3
BOTUCATU,2017,florada,,0
BOTUCATU,2017,enchimento,0.747,2
