edr_chave,edr,ano,chuva_critica_mm,anom_critica_pct,dias_tmax33_critica,chuva_secundaria_mm,anom_secundaria_pct,tmin_fria,dias_frio_fria,chuva_ciclo_mm,rendimento_a1,rendimento_a2,ancora_bienal,delta_bienal,log_capacidade,var_capacidade_pct,razao_preco,capacidade,alvo,anom_ndvi_florada,anom_ndvi_enchimento
ANDRADINA,Andradina,1985,0.0,-100.0,0,0.0,-100.0,,0,0.0,1663.9,1275.9,1469.9,388.0,7.234898420314831,1.61,,1387.0,1682.0,,
ANDRADINA,Andradina,1986,0.0,-100.0,0,0.0,-100.0,,0,0.0,1682.0,1663.9,1540.6000000000001,18.09999999999991,7.2078598714324755,-2.67,,1350.0,1374.1,,
ANDRADINA,Andradina,1987,0.0,-100.0,0,0.0,-100.0,,0,0.0,1374.1,1682.0,1573.3333333333333,-307.9000000000001,6.715383386334681,-38.89,,825.0,1421.2,,
ANDRADINA,Andradina,1988,0.0,-100.0,0,0.0,-100.0,,0,0.0,1421.2,1374.1,1492.4333333333334,47.100000000000136,6.063785208687608,-47.88,,430.0,1434.9,,
ANDRADINA,Andradina,1989,0.0,-100.0,0,0.0,-100.0,,0,0.0,1434.9,1421.2,1410.0666666666668,13.700000000000045,5.455321115357702,-45.58,,234.0,1511.8,,
ANDRADINA,Andradina,1990,0.0,-100.0,0,0.0,-100.0,,0,0.0,1511.8,1434.9,1455.9666666666665,76.89999999999986,6.796823718274855,282.48,,895.0,1176.3,,
ANDRADINA,Andradina,1991,0.0,-100.0,0,0.0,-100.0,,0,0.0,1176.3,1511.8,1374.3333333333333,-335.5,5.998936561946683,-54.97,,403.0,2096.5,,
ANDRADINA,Andradina,1992,0.0,-100.0,0,0.0,-100.0,,0,0.0,2096.5,1176.3,1594.8666666666668,920.2,6.86171134048073,136.97,,955.0,1177.2,,
ANDRADINA,Andradina,1993,0.0,-100.0,0,0.0,-100.0,,0,0.0,1177.2,2096.5,1483.3333333333333,-919.3,6.413458957167357,-36.13,,610.0,2267.8,,
ANDRADINA,Andradina,1994,0.0,-100.0,0,0.0,-100.0,,0,0.0,2267.8,1177.2,1847.1666666666667,1090.6000000000001,7.269616749608169,135.41,,1436.0,1632.7,,
ANDRADINA,Andradina,1995,0.0,-100.0,0,0.0,-100.0,,0,0.0,1632.7,2267.8,1692.5666666666666,-635.1000000000001,6.967909201801884,-26.04,,1062.0,2060.1,,
ANDRADINA,Andradina,1996,0.0,-100.0,0,0.0,-100.0,,0,0.0,2060.1,1632.7,1986.8666666666668,427.39999999999986,6.871091294610546,-9.23,,964.0,2510.1,,
ANDRADINA,Andradina,1997,0.0,-100.0,0,0.0,-100.0,,0,0.0,2510.1,2060.1,2067.633333333333,450.0,6.796823718274855,-7.16,1.157,895.0,1750.0,,
