feature,importancia
ancora_bienal,0.7366568115530401
rendimento_a1,0.1136223516593106
anom_secundaria_pct,0.04682601903973929
log_capacidade,0.035536507568190934
rendimento_a2,0.0342831996808044
delta_bienal,0.032553512767498294
var_capacidade_pct,0.028038258438703306
razao_preco,0.022232964517685166
dias_tmax33_critica,0.01707587729863616
chuva_critica_mm,0.011708587144990595
chuva_ciclo_mm,0.010172968273033225
tmin_fria,0.00800004237173925
chuva_secundaria_mm,0.006395323177590437
anom_critica_pct,0.004966439517786914
dias_frio_fria,1.2057875321269673e-06
