edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
ANDRADINA,Andradina,1985,1682.0,1663.9,1275.9,1387.0,1414.6080261642471
ARARAQUARA,Araraquara,1985,1694.7,1782.4,1159.6,4750.0,1639.7696763491224
ARACATUBA,Araçatuba,1985,1982.5,1980.9,1501.1,17972.0,1775.7727220841723
ASSIS,Assis,1985,2085.0,1707.3,1663.2,10173.0,1850.5100986811497
BARRETOS,Barretos,1985,2321.8,2196.9,2079.7,6324.0,2199.7286766153848
BAURU,Bauru,1985,1575.6,1378.7,1504.2,1448.0,1448.789556375897
CATANDUVA,Catanduva,1985,1383.3,1343.4,1247.7,4014.0,1319.3028672575351
DRACENA,Dracena,1985,1955.9,1563.7,1148.3,9720.0,1212.6950352865654
GENERAL SALGADO,General Salgado,1985,1964.8,2149.6,1874.2,1966.0,1895.9907894668909
JABOTICABAL,Jaboticabal,1985,1806.1,1873.7,1461.3,18307.0,1784.9111528819221
LINS,Lins,1985,1575.2,1524.5,1651.4,3115.0,1509.2861447590526
MARILIA,Marília,1985,1805.9,1657.8,1265.5,13625.0,1340.1666937025043
ORLANDIA,Orlândia,1985,1623.9,18065.9,1865.5,1386.0,4872.6453700052325
PRESIDENTE PRUDENTE,Presidente Prudente,1985,1466.7,1419.7,1026.5,14463.0,1119.9252888244614
PRESIDENTE VENCESLAU,Presidente Venceslau,1985,1462.8,1373.4,1116.9,6376.0,1311.3400008921174
RIBEIRAO PRETO,Ribeirão Preto,1985,2544.1,2362.0,1755.4,7932.0,2274.894681044438
SAO JOSE DO RIO PRETO,São José do Rio Preto,1985,1484.9,1693.0,1380.1,3308.0,1552.6803514350256
TUPA,Tupã,1985,1700.7,1699.1,1108.4,23661.0,1242.3312923057551
ANDRADINA,Andradina,1986,1374.1,1682.0,1663.9,1350.0,1509.9871596207076
ARARAQUARA,Araraquara,1986,1790.2,1694.7,1782.4,4230.0,1535.3754353451163
ARACATUBA,Araçatuba,1986,1497.6,1982.5,1980.9,12119.0,1985.9800225891938
ASSIS,Assis,1986,1245.3,2085.0,1707.3,8437.0,2063.9506227037823
BARRETOS,Barretos,1986,2302.4,2321.8,2196.9,4721.0,2322.360286511317
BAURU,Bauru,1986,1753.2,1575.6,1378.7,896.0,1574.6389547112924
CATANDUVA,Catanduva,1986,1305.7,1383.3,1343.4,3525.0,1580.3763911907545
DRACENA,Dracena,1986,1179.0,1955.9,1563.7,8479.0,1798.7883649022
GENERAL SALGADO,General Salgado,1986,1790.0,1964.8,2149.6,1321.0,1795.7375015762764
JABOTICABAL,Jaboticabal,1986,1760.6,1806.1,1873.7,15514.0,1800.7579982002947
LINS,Lins,1986,1515.6,1575.2,1524.5,3195.0,1653.446932267031
MARILIA,Marília,1986,1348.2,1805.9,1657.8,11875.0,1654.7563866340229
ORLANDIA,Orlândia,1986,2116.7,1623.9,18065.9,902.0,2771.3568642201612
PRESIDENTE PRUDENTE,Presidente Prudente,1986,669.5,1466.7,1419.7,16274.0,1586.968590325885
PRESIDENTE VENCESLAU,Presidente Venceslau,1986,837.2,1462.8,1373.4,6282.0,1660.0069998499573
RIBEIRAO PRETO,Ribeirão Preto,1986,2189.4,2544.1,2362.0,10537.0,2347.637669594638
SAO JOSE DO RIO PRETO,São José do Rio Preto,1986,1533.0,1484.9,1693.0,2536.0,1643.0460445191368
TUPA,Tupã,1986,1028.4,1700.7,1699.1,17365.0,1698.3316851228049
ANDRADINA,Andradina,1987,1421.2,1374.1,1682.0,825.0,1705.5917215713475
ARARAQUARA,Araraquara,1987,1224.6,1790.2,1694.7,5650.0,1898.4633767253592
ARACATUBA,Araçatuba,1987,1030.9,1497.6,1982.5,9790.0,1912.8929621012383
ASSIS,Assis,1987,1623.4,1245.3,2085.0,11573.0,1842.5773384334102
BARRETOS,Barretos,1987,1956.8,2302.4,2321.8,3081.0,2207.00409253007
BAURU,Bauru,1987,861.6,1753.2,1575.6,2123.0,1617.0680707013857
CATANDUVA,Catanduva,1987,1231.4,1305.7,1383.3,4105.0,1570.0771112502448
DRACENA,Dracena,1987,725.7,1179.0,1955.9,5455.0,1525.0909615944659
GENERAL SALGADO,General Salgado,1987,1183.0,1790.0,1964.8,731.0,1990.7688192502362
JABOTICABAL,Jaboticabal,1987,1487.3,1760.6,1806.1,13466.0,1722.4520571494647
LINS,Lins,1987,1305.2,1515.6,1575.2,2240.0,1428.2028975461574
MARILIA,Marília,1987,1001.6,1348.2,1805.9,11050.0,1577.2564347128969
ORLANDIA,Orlândia,1987,2338.8,2116.7,1623.9,760.0,2436.8368371757265
PRESIDENTE PRUDENTE,Presidente Prudente,1987,1123.0,669.5,1466.7,11395.0,1351.9078792028506
PRESIDENTE VENCESLAU,Presidente Venceslau,1987,642.7,837.2,1462.8,4222.0,1240.3571787680185
RIBEIRAO PRETO,Ribeirão Preto,1987,2178.8,2189.4,2544.1,10800.0,2402.4327699183327
SAO JOSE DO RIO PRETO,São José do Rio Preto,1987,1644.5,1533.0,1484.9,2852.0,1331.5456682636213
TUPA,Tupã,1987,898.6,1028.4,1700.7,13506.0,1576.522001031028
ANDRADINA,Andradina,1988,1434.9,1421.2,1374.1,430.0,1851.5290371577582
