edr_chave,edr,ano,rendimento_a1,previsto,mae,capacidade,producao_prevista_unid,producao_prevista_t,anom_critica_pct,anom_secundaria_pct,tmin_fria,delta_bienal,razao_preco
PRESIDENTE PRUDENTE,Presidente Prudente,2026,3936.5,3209.302,423.353,20405.0,2619432.0,65486.0,22.4,-41.1,3.1,556.0999999999999,0.764
TUPA,Tupã,2026,3645.1,3269.456,408.839,19170.0,2507019.0,62675.0,19.8,-42.6,1.6,1794.1,0.764
JABOTICABAL,Jaboticabal,2026,3138.4,3171.649,360.795,18950.0,2404110.0,60103.0,-10.7,-29.1,3.7,4.800000000000182,0.764
MARILIA,Marília,2026,4229.2,3516.091,352.665,14714.0,2069431.0,51736.0,15.5,-40.0,1.7,-70.19999999999982,0.764
SAO JOSE DO RIO PRETO,São José do Rio Preto,2026,2898.0,3628.081,258.51,12523.0,1817378.0,45434.0,-11.9,-14.6,3.9,201.0,0.764
ASSIS,Assis,2026,3332.1,3014.854,369.29,14700.0,1772734.0,44318.0,15.8,-35.8,1.5,725.5999999999999,0.764
DRACENA,Dracena,2026,3618.7,3182.391,368.175,10890.0,1386250.0,34656.0,-3.7,-46.8,2.5,1415.8999999999996,0.764
RIBEIRAO PRETO,Ribeirão Preto,2026,2776.7,3632.147,345.375,9355.0,1359149.0,33979.0,-20.1,-13.6,3.5,-898.6000000000004,0.764
PRESIDENTE VENCESLAU,Presidente Venceslau,2026,2641.1,2872.891,436.267,11383.0,1308085.0,32702.0,13.3,-44.6,2.2,0.5,0.764
LINS,Lins,2026,3239.2,4066.337,435.656,7905.0,1285776.0,32144.0,-6.4,-29.5,5.3,-1586.6999999999998,0.764
BAURU,Bauru,2026,4005.3,3721.641,441.379,7726.0,1150136.0,28753.0,-2.9,-39.8,1.0,-222.5,0.764
BARRETOS,Barretos,2026,3704.1,3745.545,381.799,5984.5,896609.0,22415.0,-21.3,-8.0,5.8,214.0999999999999,0.764
GENERAL SALGADO,General Salgado,2026,4011.2,3510.75,346.426,5542.0,778263.0,19457.0,-7.5,-41.3,4.8,618.3999999999996,0.764
ARACATUBA,Araçatuba,2026,4499.2,3788.243,404.102,5057.1,766301.0,19158.0,2.7,-47.5,2.7,1744.3999999999996,0.764
CATANDUVA,Catanduva,2026,3218.9,3928.836,351.561,4180.0,656901.0,16423.0,-11.9,-14.6,3.9,-754.9000000000001,0.764
ARARAQUARA,Araraquara,2026,3007.1,3206.509,278.313,3885.0,498291.0,12457.0,-21.6,-26.9,2.7,191.29999999999973,0.764
ANDRADINA,Andradina,2026,3728.7,3127.352,430.438,1700.0,212660.0,5316.0,-26.2,-50.7,4.2,-157.0,0.764
ORLANDIA,Orlândia,2026,4500.0,4138.276,712.672,100.0,16553.0,414.0,-22.3,-11.2,5.2,0.0,0.764
