feature,importancia
rendimento_a2,0.5710598702382139
ancora_bienal,0.20889409568427428
rendimento_a1,0.13573326897781646
log_capacidade,0.05734034314629924
razao_preco,0.016986314997834526
tmin_fria,0.016734542695740456
var_capacidade_pct,0.01629974985052131
delta_bienal,0.011689759203467723
anom_ndvi_enchimento,0.011472436997249577
anom_secundaria_pct,0.009738440989047456
anom_ndvi_florada,0.009516475641319508
chuva_critica_mm,0.009251897010063917
dias_tmax33_critica,0.008784195437061146
chuva_secundaria_mm,0.008114542059393479
chuva_ciclo_mm,0.007403564059971279
anom_critica_pct,0.004997337059950771
dias_frio_fria,2.0272141869337457e-07
