edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
ARARAQUARA,Araraquara,2001,1222.8,,,3412.0,1372.333817064904
AVARE,Avaré,2001,838.7,,,6332.0,1357.4521809461776
BAURU,Bauru,2001,549.8,,,6499.0,1310.7061127324519
BOTUCATU,Botucatu,2001,921.7,,,3726.0,1297.7189861393385
BRAGANCA PAULISTA,Bragança Paulista,2001,1050.3,,,9033.0,1311.4155144265537
DRACENA,Dracena,2001,672.9,,,7762.0,1188.9619325798167
FRANCA,Franca,2001,920.8,,,31106.0,1190.1960111863684
JAU,Jaú,2001,873.8,,,6150.0,1315.5183664185095
LINS,Lins,2001,678.1,,,4791.0,1262.8314011187192
MARILIA,Marília,2001,479.9,,,23863.0,1366.417181228384
MOGI MIRIM,Mogi Mirim,2001,1123.6,,,3237.0,1409.195117534899
ORLANDIA,Orlândia,2001,1479.2,,,1541.0,1188.2824629086465
OURINHOS,Ourinhos,2001,802.6,,,17404.0,1315.1182044741977
RIBEIRAO PRETO,Ribeirão Preto,2001,863.9,,,4994.0,1333.8778593961
SAO JOAO DA BOA VISTA,São João da Boa Vista,2001,815.2,,,39841.0,1386.5527684752533
TUPA,Tupã,2001,662.9,,,7648.0,1352.8350288415133
ARARAQUARA,Araraquara,2002,1434.9,1222.8,,3277.0,901.0838057680722
AVARE,Avaré,2002,949.3,838.7,,6347.0,910.363329185421
BAURU,Bauru,2002,832.4,549.8,,6182.0,686.5771185480896
BOTUCATU,Botucatu,2002,1138.9,921.7,,3958.0,943.4262676509074
BRAGANCA PAULISTA,Bragança Paulista,2002,1215.0,1050.3,,8788.35,871.3955120140303
DRACENA,Dracena,2002,624.3,672.9,,7775.22,700.0676880444511
FRANCA,Franca,2002,1798.3,920.8,,39886.9,767.9579828604411
JAU,Jaú,2002,1474.5,873.8,,6585.0,756.9306730711874
LINS,Lins,2002,976.0,678.1,,4283.0,808.323397403892
MARILIA,Marília,2002,1122.8,479.9,,24930.0,736.795783564021
MOGI MIRIM,Mogi Mirim,2002,1593.1,1123.6,,3411.0,879.7553796753809
ORLANDIA,Orlândia,2002,1446.2,1479.2,,1751.5,915.6895095514565
OURINHOS,Ourinhos,2002,910.7,802.6,,20542.0,880.9856004563143
RIBEIRAO PRETO,Ribeirão Preto,2002,985.3,863.9,,4595.0,847.4595755981961
SAO JOAO DA BOA VISTA,São João da Boa Vista,2002,1382.0,815.2,,40851.0,903.0059488566818
TUPA,Tupã,2002,626.0,662.9,,7674.0,721.8287183793361
ARARAQUARA,Araraquara,2003,732.3,1434.9,1222.8,3732.0,1238.864730429152
AVARE,Avaré,2003,751.4,949.3,838.7,6477.0,902.8426192418623
BAURU,Bauru,2003,767.0,832.4,549.8,6105.0,645.783080285039
BOTUCATU,Botucatu,2003,904.4,1138.9,921.7,3811.0,1214.1659647524887
BRAGANCA PAULISTA,Bragança Paulista,2003,996.8,1215.0,1050.3,8706.0,1199.2889836333036
DRACENA,Dracena,2003,564.5,624.3,672.9,8016.22,873.6542843582157
FRANCA,Franca,2003,715.4,1798.3,920.8,39898.4,1028.512201704338
JAU,Jaú,2003,852.2,1474.5,873.8,6955.0,1124.0697935051628
LINS,Lins,2003,572.9,976.0,678.1,4697.0,845.7651053911507
MARILIA,Marília,2003,530.9,1122.8,479.9,23261.8,875.5801742890264
MOGI MIRIM,Mogi Mirim,2003,863.7,1593.1,1123.6,3349.0,1310.6750228155497
ORLANDIA,Orlândia,2003,1277.3,1446.2,1479.2,2134.0,1647.9773316058245
