edr_chave,edr,ano,rendimento_a1,previsto,mae,capacidade,producao_prevista_unid,producao_prevista_t,anom_critica_pct,anom_secundaria_pct,tmin_fria,delta_bienal,razao_preco
FRANCA,Franca,2026,1602.2,1914.351,379.864,68862.0,2197101.0,131826.0,-35.2,-10.3,4.6,-81.59999999999991,1.345
SAO JOAO DA BOA VISTA,São João da Boa Vista,2026,1436.1,1456.367,189.434,41696.0,1012078.0,60725.0,-39.0,-18.4,3.9,-122.30000000000018,1.345
MARILIA,Marília,2026,1258.4,1471.622,243.143,13033.58,319675.0,19180.0,-24.1,-18.5,1.7,74.10000000000014,1.345
OURINHOS,Ourinhos,2026,1859.6,1565.636,156.551,11253.0,293635.0,17618.0,-32.9,-33.6,1.6,50.299999999999955,1.345
BRAGANCA PAULISTA,Bragança Paulista,2026,1733.8,1669.35,126.285,7294.5,202951.0,12177.0,-45.8,-27.5,2.0,110.70000000000005,1.345
JAU,Jaú,2026,1280.0,1733.045,240.531,6794.8,196262.0,11776.0,-39.4,-37.7,1.3,-193.4000000000001,1.345
RIBEIRAO PRETO,Ribeirão Preto,2026,1736.6,1756.224,167.539,5493.0,160782.0,9647.0,-33.5,-11.9,3.5,202.5,1.345
AVARE,Avaré,2026,1532.2,1570.387,123.324,4907.0,128431.0,7706.0,-35.3,-46.4,1.4,30.90000000000009,1.345
ORLANDIA,Orlândia,2026,1914.3,2281.529,291.513,2109.0,80196.0,4812.0,-43.1,-7.3,5.2,-105.70000000000005,1.345
BOTUCATU,Botucatu,2026,1370.7,1241.392,117.699,2174.2,44984.0,2699.0,-41.5,-38.8,1.6,1.2000000000000455,1.345
ARARAQUARA,Araraquara,2026,1148.8,1069.363,222.098,2349.0,41866.0,2512.0,-42.1,-20.1,2.7,-52.90000000000009,1.345
BAURU,Bauru,2026,2300.3,1367.006,178.58,1239.0,28229.0,1694.0,-33.6,-23.8,1.0,1073.5000000000002,1.345
MOGI MIRIM,Mogi Mirim,2026,903.6,1099.886,228.152,1457.4,26716.0,1603.0,-41.4,-20.9,3.3,-168.30000000000007,1.345
TUPA,Tupã,2026,841.3,690.917,195.268,1595.4,18371.0,1102.0,-20.9,-19.5,1.6,332.69999999999993,1.345
LINS,Lins,2026,901.5,1306.027,220.206,648.45,14115.0,847.0,-44.9,-13.9,5.3,-295.0999999999999,1.345
DRACENA,Dracena,2026,1241.1,1065.565,159.193,620.0,11011.0,661.0,-38.5,-27.5,2.5,124.19999999999982,1.345
