edr_chave,edr,ano,chuva_florada_mm,anom_florada_pct,dias_tmax33_florada,chuva_enchimento_mm,anom_enchimento_pct,tmin_inverno_anterior,dias_frio_inverno_anterior,chuva_ciclo_mm,rendimento_a1,rendimento_a2,ancora_bienal,delta_bienal,log_area,var_area_pct,razao_preco,area_ha,rendimento_kg_ha,anom_ndvi_enchimento,anom_ndvi_florada
ARARAQUARA,Araraquara,2001,432.2,38.0,20,736.5,-0.0,0.9,1,1202.6,,,,,8.13505390861157,,0.902,3412.0,1223.0,,
ARARAQUARA,Araraquara,2002,409.9,30.8,15,934.2,26.8,5.4,0,1354.0,1223.0,,,,8.094683648698815,-3.96,0.72,3277.0,1435.0,,
ARARAQUARA,Araraquara,2003,264.1,-15.7,37,925.2,25.6,5.7,0,1272.0,1435.0,1223.0,1223.0,212.0,8.224699561967235,13.88,1.032,3732.0,732.0,,
ARARAQUARA,Araraquara,2004,334.7,6.8,26,854.1,15.9,5.8,0,1293.5,732.0,1435.0,1435.0,-703.0,8.06777619577889,-14.52,1.24,3190.0,1014.0,,
ARARAQUARA,Araraquara,2005,327.3,4.5,26,763.8,3.7,6.0,0,1153.6,1014.0,732.0,977.5,282.0,7.96693349840484,-9.59,1.252,2884.0,978.0,,
ARARAQUARA,Araraquara,2006,356.9,13.9,17,837.3,13.6,8.1,0,1231.8,978.0,1014.0,1224.5,-36.0,7.969876459067832,0.29,1.18,2892.5,1363.0,,
ARARAQUARA,Araraquara,2007,282.9,-9.7,14,954.5,29.6,6.8,0,1287.7,1363.0,978.0,977.6666666666666,385.0,7.980194693346223,1.04,1.026,2922.5,784.0,,
ARARAQUARA,Araraquara,2008,224.6,-28.3,34,726.9,-1.3,4.5,0,1069.0,784.0,1363.0,1270.6666666666667,-579.0,7.846785497825781,-12.49,1.017,2557.5,1249.0,,
ARARAQUARA,Araraquara,2009,211.3,-32.6,24,852.0,15.6,7.4,0,1116.8,1249.0,784.0,929.25,465.0,7.7492793602831,-9.29,1.027,2319.9,1628.0,,
ARARAQUARA,Araraquara,2010,442.7,41.3,3,780.9,6.0,3.4,0,1282.0,1628.0,1249.0,1265.25,379.0,7.785138848540809,3.65,1.038,2404.6,978.0,,
ARARAQUARA,Araraquara,2011,184.3,-41.2,32,851.9,15.6,6.5,0,1109.4,978.0,1628.0,1030.5,-650.0,7.774435510302958,-1.06,1.239,2379.0,1045.0,,
ARARAQUARA,Araraquara,2012,326.1,4.1,20,533.3,-27.6,3.5,0,957.5,1045.0,978.0,1151.0,67.0,7.716906135298388,-5.59,1.324,2246.0,963.0,,
