feature,importancia
rendimento_a2,0.5919084202457555
ancora_bienal,0.222669765009944
rendimento_a1,0.12772245860583753
log_area,0.057868504562742715
razao_preco,0.019087649149841276
var_area_pct,0.018132545714031487
tmin_inverno_anterior,0.01659446000136368
delta_bienal,0.013014298119765774
anom_ndvi_enchimento,0.012563563129349392
anom_enchimento_pct,0.011187572057180822
chuva_ciclo_mm,0.009613718715149475
anom_ndvi_florada,0.009367779189500394
dias_tmax33_florada,0.009201702086941557
chuva_enchimento_mm,0.008093035248653138
chuva_florada_mm,0.007896588659987339
anom_florada_pct,0.004806986830410878
dias_frio_inverno_anterior,2.107890270053314e-06
