edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
ARARAQUARA,Araraquara,1985,1.5184,1.435,1.3017,13832250.0,1.438599605357562
AVARE,Avaré,1985,1.9357,1.3879,1.9083,175700.0,1.7522486159331356
BARRETOS,Barretos,1985,1.9065,2.0984,2.0517,31254131.0,2.0300183267971437
BAURU,Bauru,1985,2.4066,2.1219,2.6315,94200.0,2.2493140829399216
BOTUCATU,Botucatu,1985,1.7868,1.3429,1.4681,68000.0,1.5841910736661247
CATANDUVA,Catanduva,1985,2.3967,2.3012,2.2162,8880000.0,2.3108794024520334
FERNANDOPOLIS,Fernandópolis,1985,2.1462,2.7136,2.3816,572850.0,2.6827034378073935
FRANCA,Franca,1985,3.0,2.5,2.0,40000.0,2.224625683139601
GENERAL SALGADO,General Salgado,1985,2.876,3.0032,2.643,592464.0,2.5418688800393805
ITAPETININGA,Itapetininga,1985,2.5721,2.6994,2.6611,550467.0,2.4720333619919597
ITAPEVA,Itapeva,1985,2.4071,2.4146,2.4425,185300.0,2.41776257505581
JABOTICABAL,Jaboticabal,1985,1.8434,1.8375,1.9406,12891236.0,1.87478345003836
JALES,Jales,1985,2.6829,2.1869,2.1062,562839.0,1.9670541217273523
JAU,Jaú,1985,2.4216,2.4621,2.4687,650330.0,2.4534408821091294
LIMEIRA,Limeira,1985,2.0711,1.9414,2.0255,11635623.0,2.0782956393323433
LINS,Lins,1985,2.7281,2.7366,2.7335,353109.0,2.3129283038873862
MOGI MIRIM,Mogi Mirim,1985,2.1175,2.5123,2.3226,9617000.0,2.2224051510477048
OURINHOS,Ourinhos,1985,1.1559,1.1807,1.1853,127021.0,1.3008902691839803
PIRACICABA,Piracicaba,1985,1.9159,1.9562,2.3185,844340.0,1.8661528981668651
RIBEIRAO PRETO,Ribeirão Preto,1985,1.7237,1.5506,1.351,3091600.0,1.497099879891204
SOROCABA,Sorocaba,1985,2.8269,2.8226,2.7965,1374800.0,2.5102250898793628
SAO JOSE DO RIO PRETO,São José do Rio Preto,1985,2.5527,2.3783,2.5772,6376190.0,2.3637900787303043
SAO JOAO DA BOA VISTA,São João da Boa Vista,1985,2.2557,2.35,2.1142,4068253.0,2.2635731831336496
VOTUPORANGA,Votuporanga,1985,1.7131,2.0562,2.3421,528000.0,2.090947758667224
ARARAQUARA,Araraquara,1986,1.4426,1.5184,1.435,14199250.0,1.5106198614277477
AVARE,Avaré,1986,1.7948,1.9357,1.3879,188350.0,1.8230723171446077
BARRETOS,Barretos,1986,1.7661,1.9065,2.0984,30980417.0,1.9344624056222328
BAURU,Bauru,1986,2.371,2.4066,2.1219,75600.0,2.8027613991472595
BOTUCATU,Botucatu,1986,1.6479,1.7868,1.3429,71000.0,1.8334459064203734
CATANDUVA,Catanduva,1986,1.9862,2.3967,2.3012,9448000.0,2.353445860919101
FERNANDOPOLIS,Fernandópolis,1986,2.0884,2.1462,2.7136,600850.0,2.525555857488425
FRANCA,Franca,1986,2.5,3.0,2.5,40000.0,2.7325402614753838
GENERAL SALGADO,General Salgado,1986,2.1444,2.876,3.0032,698577.0,2.5793135825930467
ITAPETININGA,Itapetininga,1986,2.7682,2.5721,2.6994,574723.0,2.4874661285807433
ITAPEVA,Itapeva,1986,2.3935,2.4071,2.4146,189800.0,2.6870144146493824
JABOTICABAL,Jaboticabal,1986,1.3862,1.8434,1.8375,14113236.0,1.7926793254227116
JALES,Jales,1986,1.7663,2.6829,2.1869,564840.0,2.5657767568870207
JAU,Jaú,1986,2.3911,2.4216,2.4621,700900.0,2.338636797204939
LIMEIRA,Limeira,1986,1.9002,2.0711,1.9414,11725623.0,2.004712383409488
LINS,Lins,1986,2.2395,2.7281,2.7366,329059.0,2.718339166212267
MOGI MIRIM,Mogi Mirim,1986,2.2161,2.1175,2.5123,8532000.0,2.303317338213529
OURINHOS,Ourinhos,1986,1.2185,1.1559,1.1807,152621.0,1.2260733530117571
PIRACICABA,Piracicaba,1986,1.7177,1.9159,1.9562,848250.0,1.9566938868120312
RIBEIRAO PRETO,Ribeirão Preto,1986,1.5893,1.7237,1.5506,2408900.0,1.7466732664263704
SOROCABA,Sorocaba,1986,2.281,2.8269,2.8226,1332800.0,2.7844149629285933
SAO JOSE DO RIO PRETO,São José do Rio Preto,1986,2.0646,2.5527,2.3783,6055190.0,2.2446209162904904
SAO JOAO DA BOA VISTA,São João da Boa Vista,1986,1.8664,2.2557,2.35,3869281.0,2.3075074670671425
VOTUPORANGA,Votuporanga,1986,1.5682,1.7131,2.0562,524500.0,1.8716428664655471
ARARAQUARA,Araraquara,1987,1.456,1.4426,1.5184,14530000.0,1.505079018974758
AVARE,Avaré,1987,1.7727,1.7948,1.9357,178850.0,2.0119264659494744
BARRETOS,Barretos,1987,1.8236,1.7661,1.9065,32057340.0,1.917243681407883
BAURU,Bauru,1987,2.3608,2.371,2.4066,106680.0,2.3806043271445607
BOTUCATU,Botucatu,1987,2.0423,1.6479,1.7868,78000.0,1.666553651175533
CATANDUVA,Catanduva,1987,2.3733,1.9862,2.3967,9818000.0,2.1527864983251983
FERNANDOPOLIS,Fernandópolis,1987,2.2123,2.0884,2.1462,650050.0,2.122894650880574
FRANCA,Franca,1987,2.5,2.5,3.0,40000.0,2.499681884589766
GENERAL SALGADO,General Salgado,1987,2.8653,2.1444,2.876,755177.0,2.130554740160341
ITAPETININGA,Itapetininga,1987,2.4104,2.7682,2.5721,565340.0,2.490712148152086
ITAPEVA,Itapeva,1987,2.7365,2.3935,2.4071,259300.0,2.3370510596969276
JABOTICABAL,Jaboticabal,1987,1.756,1.3862,1.8434,16113236.0,1.663007354068919
JALES,Jales,1987,2.376,1.7663,2.6829,597031.0,2.1901732423270595
JAU,Jaú,1987,1.916,2.3911,2.4216,1105615.0,2.248715893339512
LIMEIRA,Limeira,1987,1.9791,1.9002,2.0711,11741051.0,1.971671589507675
LINS,Lins,1987,2.3488,2.2395,2.7281,316809.0,2.307848236562435
MOGI MIRIM,Mogi Mirim,1987,2.2528,2.2161,2.1175,11533000.0,2.0968611189919173
OURINHOS,Ourinhos,1987,1.9263,1.2185,1.1559,56190.0,1.2834794230619806
PIRACICABA,Piracicaba,1987,1.6284,1.7177,1.9159,848250.0,1.8895140746692856
RIBEIRAO PRETO,Ribeirão Preto,1987,1.6279,1.5893,1.7237,2398900.0,1.7455826781472936
SOROCABA,Sorocaba,1987,2.4405,2.281,2.8269,1428000.0,2.1977468303123504
SAO JOSE DO RIO PRETO,São José do Rio Preto,1987,2.3251,2.0646,2.5527,7351190.0,2.323187578539904
SAO JOAO DA BOA VISTA,São João da Boa Vista,1987,2.914,1.8664,2.2557,4127928.0,1.974224290212141
VOTUPORANGA,Votuporanga,1987,2.2707,1.5682,1.7131,569000.0,1.7385503359682906
ARARAQUARA,Araraquara,1988,1.4632,1.456,1.4426,14802000.0,1.5484589110546187
AVARE,Avaré,1988,2.2956,1.7727,1.7948,190650.0,1.6957088416245951
BARRETOS,Barretos,1988,1.6992,1.8236,1.7661,33478461.0,1.863790885600234
BAURU,Bauru,1988,2.1422,2.3608,2.371,217212.0,1.7471112440169188
BOTUCATU,Botucatu,1988,2.5882,2.0423,1.6479,68000.0,2.0130269395045826
CATANDUVA,Catanduva,1988,1.9737,2.3733,1.9862,12029000.0,2.256788663071352
FERNANDOPOLIS,Fernandópolis,1988,1.9005,2.2123,2.0884,1060050.0,2.0151040225593033
FRANCA,Franca,1988,2.7,2.5,2.5,50000.0,2.508036814586761
GENERAL SALGADO,General Salgado,1988,2.873,2.8653,2.1444,891357.0,2.3654104116651693
ITAPETININGA,Itapetininga,1988,2.4015,2.4104,2.7682,577840.0,2.3819953526136013
ITAPEVA,Itapeva,1988,2.8655,2.7365,2.3935,252800.0,2.570620242683355
JABOTICABAL,Jaboticabal,1988,1.7959,1.756,1.3862,18493261.0,2.1108767220153775
JALES,Jales,1988,2.6849,2.376,1.7663,722531.0,2.1793418058488543
JAU,Jaú,1988,1.8307,1.916,2.3911,1084325.0,2.2644251312494883
LIMEIRA,Limeira,1988,1.9069,1.9791,1.9002,11720551.0,2.0047700758853053
LINS,Lins,1988,2.2167,2.3488,2.2395,358112.0,2.4505883008672145
MOGI MIRIM,Mogi Mirim,1988,2.572,2.2528,2.2161,13013000.0,2.2463279477721456
OURINHOS,Ourinhos,1988,1.747,1.9263,1.2185,63790.0,1.9966730408153204
PIRACICABA,Piracicaba,1988,1.8274,1.6284,1.7177,845900.0,1.6730885075256186
RIBEIRAO PRETO,Ribeirão Preto,1988,1.5869,1.6279,1.5893,2404900.0,1.643495918410801
SOROCABA,Sorocaba,1988,2.5155,2.4405,2.281,1228000.0,2.589127199572605
SAO JOSE DO RIO PRETO,São José do Rio Preto,1988,2.3576,2.3251,2.0646,8274780.0,2.2311623514193775
SAO JOAO DA BOA VISTA,São João da Boa Vista,1988,2.9186,2.914,1.8664,4314494.0,2.1786522037534772
VOTUPORANGA,Votuporanga,1988,1.8063,2.2707,1.5682,573000.0,2.0899596441306554
ARARAQUARA,Araraquara,1989,1.653,1.4632,1.456,15656892.0,1.456051644964627
AVARE,Avaré,1989,1.7911,2.2956,1.7727,246500.0,2.62797803276861
BARRETOS,Barretos,1989,2.1633,1.6992,1.8236,34939776.0,1.7486181060267794
BAURU,Bauru,1989,2.3116,2.1422,2.3608,326730.0,1.949530291880935
BOTUCATU,Botucatu,1989,2.5662,2.5882,2.0423,74000.0,2.691941447786368
CATANDUVA,Catanduva,1989,2.1091,1.9737,2.3733,13461000.0,2.1942189293286622
FERNANDOPOLIS,Fernandópolis,1989,2.4275,1.9005,2.2123,1387000.0,1.9505866779699215
FRANCA,Franca,1989,2.5536,2.7,2.5,56000.0,2.554511652329789
GENERAL SALGADO,General Salgado,1989,2.2505,2.873,2.8653,1118257.0,2.614927243562297
ITAPETININGA,Itapetininga,1989,2.8863,2.4015,2.4104,614840.0,2.3506235897134937
ITAPEVA,Itapeva,1989,2.781,2.8655,2.7365,264800.0,2.6186847411386895
JABOTICABAL,Jaboticabal,1989,2.0587,1.7959,1.756,18784161.0,1.6788644123430707
JALES,Jales,1989,2.8788,2.6849,2.376,823404.0,2.460311811416713
JAU,Jaú,1989,1.5326,1.8307,1.916,2127745.0,1.8338514349864798
LIMEIRA,Limeira,1989,2.1756,1.9069,1.9791,11981500.0,1.909184943452799
LINS,Lins,1989,2.4564,2.2167,2.3488,447656.0,2.364323616424141
MOGI MIRIM,Mogi Mirim,1989,2.4964,2.572,2.2528,15511000.0,2.1993109383458593
OURINHOS,Ourinhos,1989,1.7547,1.747,1.9263,65790.0,1.7838553157046297
PIRACICABA,Piracicaba,1989,1.8198,1.8274,1.6284,840100.0,1.6654577545420393
RIBEIRAO PRETO,Ribeirão Preto,1989,1.5797,1.5869,1.6279,2454900.0,1.5433645293912468
SOROCABA,Sorocaba,1989,2.7426,2.5155,2.4405,1368200.0,2.515871898579182
SAO JOSE DO RIO PRETO,São José do Rio Preto,1989,2.3785,2.3576,2.3251,8845716.0,2.2089749459313066
SAO JOAO DA BOA VISTA,São João da Boa Vista,1989,2.7144,2.9186,2.914,4328824.0,2.730302631282539
VOTUPORANGA,Votuporanga,1989,2.109,1.8063,2.2707,587000.0,1.92982917094235
ARARAQUARA,Araraquara,1990,1.6455,1.653,1.4632,16622000.0,1.6703226198505057
AVARE,Avaré,1990,1.71,1.7911,2.2956,269000.0,1.8548593575471874
BARRETOS,Barretos,1990,1.8315,2.1633,1.6992,36404776.0,2.194553320751867
BAURU,Bauru,1990,2.2958,2.3116,2.1422,503040.0,1.92823633972173
BOTUCATU,Botucatu,1990,2.5099,2.5662,2.5882,90850.0,2.5659789974772584
CATANDUVA,Catanduva,1990,1.969,2.1091,1.9737,14431000.0,2.0151854879662183
FERNANDOPOLIS,Fernandópolis,1990,2.4874,2.4275,1.9005,1588000.0,2.3647197999605067
FRANCA,Franca,1990,2.3521,2.5536,2.7,71000.0,2.775703107048759
GENERAL SALGADO,General Salgado,1990,2.2934,2.2505,2.873,1264757.0,2.4062301305048077
ITAPETININGA,Itapetininga,1990,2.4282,2.8863,2.4015,689000.0,2.4656173233297713
ITAPEVA,Itapeva,1990,2.3441,2.781,2.8655,310966.0,2.867856530848757
