edr_chave,edr,ano,rendimento_a1,previsto,mae,capacidade,producao_prevista_unid,producao_prevista_t,anom_critica_pct,anom_secundaria_pct,tmin_fria,delta_bienal,razao_preco
BARRETOS,Barretos,2026,1.8696,1.645,0.127,14524224.0,23892348.0,974808.0,-50.8,-2.7,5.8,0.04200000000000004,0.758
BOTUCATU,Botucatu,2026,2.0668,2.106,0.188,9135500.0,19239363.0,784966.0,-41.5,-38.8,1.6,0.03190000000000026,0.758
OURINHOS,Ourinhos,2026,2.5697,2.414,0.248,7804500.0,18840063.0,768675.0,-32.9,-33.6,1.6,0.19410000000000016,0.758
ITAPETININGA,Itapetininga,2026,2.4392,2.41,0.172,7169085.0,17277495.0,704922.0,-39.0,-47.1,1.1,-0.08279999999999976,0.758
BAURU,Bauru,2026,1.9761,1.8,0.207,9111753.0,16401155.0,669167.0,-33.6,-23.8,1.0,0.34599999999999986,0.758
SAO JOAO DA BOA VISTA,São João da Boa Vista,2026,2.5955,2.251,0.203,7184000.0,16171184.0,659784.0,-39.0,-18.4,3.9,0.2687999999999997,0.758
ARARAQUARA,Araraquara,2026,1.3483,1.351,0.104,9729705.0,13144831.0,536309.0,-42.1,-20.1,2.7,-0.0007999999999999119,0.758
MOGI MIRIM,Mogi Mirim,2026,1.1831,1.207,0.165,9992528.0,12060981.0,492088.0,-41.4,-20.9,3.3,0.006099999999999994,0.758
SAO JOSE DO RIO PRETO,São José do Rio Preto,2026,2.4786,1.999,0.167,5786901.0,11568015.0,471975.0,-44.1,-5.8,3.9,0.28190000000000026,0.758
FRANCA,Franca,2026,2.3087,2.172,0.263,3758587.0,8163651.0,333077.0,-35.2,-10.3,4.6,0.23459999999999992,0.758
JALES,Jales,2026,3.0412,2.93,0.299,2764270.0,8099311.0,330452.0,-58.6,-27.3,6.3,0.046699999999999964,0.758
JABOTICABAL,Jaboticabal,2026,2.0783,2.176,0.174,3524064.0,7668363.0,312869.0,-46.5,-15.4,3.7,0.06919999999999993,0.758
ITAPEVA,Itapeva,2026,3.6361,2.824,0.421,2456301.0,6936594.0,283013.0,-37.5,-50.4,-0.2,0.3521000000000001,0.758
AVARE,Avaré,2026,1.9498,1.822,0.25,3714100.0,6767090.0,276097.0,-35.3,-46.4,1.4,0.012599999999999945,0.758
JAU,Jaú,2026,1.9575,1.903,0.212,3555130.0,6765412.0,276029.0,-39.4,-37.7,1.3,0.05689999999999995,0.758
LINS,Lins,2026,2.402,2.229,0.214,2928716.0,6528108.0,266347.0,-44.9,-13.9,5.3,0.2482000000000002,0.758
FERNANDOPOLIS,Fernandópolis,2026,2.4507,2.44,0.196,2218311.0,5412679.0,220837.0,-58.0,-23.1,6.8,-0.3318000000000003,0.758
LIMEIRA,Limeira,2026,1.3259,1.459,0.117,3573000.0,5213007.0,212691.0,-39.8,-18.2,2.7,-0.18359999999999999,0.758
CATANDUVA,Catanduva,2026,3.2556,2.394,0.156,1546180.0,3701555.0,151023.0,-44.1,-5.8,3.9,1.0255999999999998,0.758
GENERAL SALGADO,General Salgado,2026,1.9672,1.891,0.322,1836170.0,3472197.0,141666.0,-41.8,-25.9,4.8,0.06530000000000014,0.758
VOTUPORANGA,Votuporanga,2026,2.35,2.398,0.195,1409482.0,3379938.0,137901.0,-58.0,-23.1,6.8,0.08119999999999994,0.758
SOROCABA,Sorocaba,2026,2.4817,2.4,0.246,998175.0,2395620.0,97741.0,-34.2,-32.7,2.1,0.39060000000000006,0.758
PIRACICABA,Piracicaba,2026,1.7795,1.78,0.128,907100.0,1614638.0,65877.0,-40.4,-26.4,2.7,0.02950000000000008,0.758
RIBEIRAO PRETO,Ribeirão Preto,2026,2.6202,2.119,0.144,650142.0,1377651.0,56208.0,-33.5,-11.9,3.5,1.1051000000000002,0.758
