edr_chave,edr,ano,rendimento_kg_ha,rendimento_a1,rendimento_a2,area_ha,previsto
ARARAQUARA,Araraquara,2012,963.0,1045.0,978.0,2246.0,947.3098459595961
AVARE,Avaré,2012,1041.0,1086.0,880.0,7757.5,1034.9005245310248
BOTUCATU,Botucatu,2012,1450.0,1531.0,1373.0,4288.72,1499.8096706349208
BRAGANCA PAULISTA,Bragança Paulista,2012,1582.0,1579.0,1419.0,10156.1,1562.1733309523806
DRACENA,Dracena,2012,732.0,837.0,897.0,4865.0,881.4098293650796
FRANCA,Franca,2012,1958.0,875.0,1873.0,52104.2,1754.1662150793638
JAU,Jaú,2012,1702.0,1303.0,1417.0,7165.0,1337.932435714285
MARILIA,Marília,2012,1541.0,1354.0,1434.0,25462.0,1338.871372222222
MOGI MIRIM,Mogi Mirim,2012,694.0,699.0,991.0,3085.0,727.1710269841269
ORLANDIA,Orlândia,2012,1819.0,1602.0,1754.0,2127.0,1559.0002531746024
OURINHOS,Ourinhos,2012,1438.0,1322.0,1272.0,17932.0,1378.156232539682
RIBEIRAO PRETO,Ribeirão Preto,2012,1648.0,1538.0,1577.0,5021.4,1537.569777777777
SAO JOAO DA BOA VISTA,São João da Boa Vista,2012,1598.0,1173.0,1364.0,44060.5,1383.6664793650793
TUPA,Tupã,2012,663.0,636.0,593.0,7109.8,634.2586427849931
ARARAQUARA,Araraquara,2013,924.0,963.0,1045.0,1654.9,1046.1340388888889
AVARE,Avaré,2013,1045.0,1041.0,1086.0,6760.55,1164.6950309523809
BOTUCATU,Botucatu,2013,1292.0,1450.0,1531.0,3652.14,1494.8938039682548
BRAGANCA PAULISTA,Bragança Paulista,2013,1437.0,1582.0,1579.0,9264.07,1626.190600793652
DRACENA,Dracena,2013,922.0,732.0,837.0,4052.94,628.6808012987019
FRANCA,Franca,2013,1533.0,1958.0,875.0,46563.07,1119.9617325396828
JAU,Jaú,2013,1201.0,1702.0,1303.0,6307.71,1649.6389817460317
MARILIA,Marília,2013,1394.0,1541.0,1354.0,23471.55,1521.371974242424
MOGI MIRIM,Mogi Mirim,2013,770.0,694.0,699.0,2812.9,651.7034386002892
ORLANDIA,Orlândia,2013,1268.0,1819.0,1602.0,2076.17,1674.7797293650806
OURINHOS,Ourinhos,2013,1422.0,1438.0,1322.0,16560.12,1465.7316961760462
RIBEIRAO PRETO,Ribeirão Preto,2013,1521.0,1648.0,1538.0,4552.05,1655.2752587301586
SAO JOAO DA BOA VISTA,São João da Boa Vista,2013,1347.0,1598.0,1173.0,40563.15,1587.0418650793652
TUPA,Tupã,2013,720.0,663.0,636.0,6368.74,610.1253489177492
ARARAQUARA,Araraquara,2014,852.0,924.0,963.0,1792.0,1039.820861111111
AVARE,Avaré,2014,1086.0,1045.0,1041.0,6829.78,1111.0370023809533
BOTUCATU,Botucatu,2014,1069.0,1292.0,1450.0,3925.96,1371.2836658730153
