edr_chave,edr,ano,chuva_critica_mm,anom_critica_pct,dias_tmax33_critica,chuva_secundaria_mm,anom_secundaria_pct,tmin_fria,dias_frio_fria,chuva_ciclo_mm,rendimento_a1,rendimento_a2,ancora_bienal,delta_bienal,log_capacidade,var_capacidade_pct,razao_preco,capacidade,alvo,anom_ndvi_florada,anom_ndvi_enchimento
ANDRADINA,Andradina,1992,0.0,-100.0,0,0.0,-100.0,,0,0.0,2084.3,,2084.3,,2.995732273553991,-94.78,,20.0,1800.0,,
ANDRADINA,Andradina,1993,0.0,-100.0,0,0.0,-100.0,,0,0.0,1800.0,2084.3,1942.15,-284.3000000000002,5.472270673671475,1090.0,,238.0,2273.9,,
ANDRADINA,Andradina,1994,0.0,-100.0,0,0.0,-100.0,,0,0.0,2273.9,1800.0,2052.7333333333336,473.9000000000001,7.057897937411856,388.24,,1162.0,2528.3,,
ANDRADINA,Andradina,1995,0.0,-100.0,0,0.0,-100.0,,0,0.0,2528.3,2273.9,2200.7333333333336,254.4000000000001,6.144185634125646,-59.9,,466.0,3213.7,,
ANDRADINA,Andradina,1996,0.0,-100.0,0,0.0,-100.0,,0,0.0,3213.7,2528.3,2671.9666666666667,685.3999999999996,6.824373670043086,97.42,,920.0,3078.3,,
ANDRADINA,Andradina,1997,0.0,-100.0,0,0.0,-100.0,,0,0.0,3078.3,3213.7,2940.1,-135.39999999999964,7.265429723253953,55.43,1.053,1430.0,2898.9,,
ANDRADINA,Andradina,1998,0.0,-100.0,0,0.0,-100.0,,0,0.0,2898.9,3078.3,3063.6333333333337,-179.4000000000001,7.80710329012598,71.89,1.026,2458.0,2759.4,,
ANDRADINA,Andradina,1999,0.0,-100.0,0,0.0,-100.0,,0,0.0,2759.4,2898.9,2912.2000000000003,-139.5,7.888334500738654,8.46,1.057,2666.0,2711.5,,
ANDRADINA,Andradina,2000,486.6,42.7,1,48.2,-68.1,2.3,0,644.1,2711.5,2759.4,2789.933333333333,-47.90000000000009,8.338305731356565,56.83,1.245,4181.0,2734.5,,
ANDRADINA,Andradina,2001,418.6,22.7,1,190.7,26.3,4.9,0,711.4,2734.5,2711.5,2735.133333333333,23.0,7.700747794511798,-47.14,1.106,2210.0,4077.8,,
ANDRADINA,Andradina,2002,277.0,-18.8,31,109.5,-27.4,8.1,0,575.4,4077.8,2734.5,3174.6,1343.3000000000002,7.3901814282264295,-26.7,0.936,1620.0,3444.4,,
ANDRADINA,Andradina,2003,425.7,24.8,3,137.8,-8.8,7.4,0,805.8,3444.4,4077.8,3418.9,-633.4000000000001,7.615791072035833,25.31,1.398,2030.0,3384.2,,
ANDRADINA,Andradina,2004,296.7,-13.0,12,234.1,55.0,5.0,0,618.9,3384.2,3444.4,3635.466666666667,-60.20000000000027,8.422882511944996,124.14,1.12,4550.0,2868.1,,
ANDRADINA,Andradina,2005,88.5,-74.1,53,147.1,-2.5,7.5,0,457.3,2868.1,3384.2,3232.233333333333,-516.0999999999999,8.027150106832774,-32.68,0.958,3063.0,3918.8,,
