feature,importancia
ancora_bienal,0.657113602678927
rendimento_a1,0.10629100041198994
rendimento_a2,0.05845912653399825
chuva_secundaria_mm,0.05589654123674993
log_capacidade,0.045176013818882865
delta_bienal,0.040319063801593474
razao_preco,0.03807285988665818
anom_secundaria_pct,0.03171699797841007
tmin_fria,0.023987066766428727
chuva_critica_mm,0.02390135928913234
var_capacidade_pct,0.020790161342107663
anom_critica_pct,0.01967544848392426
chuva_ciclo_mm,0.009854316475779293
dias_tmax33_critica,0.006856758397991963
dias_frio_fria,6.968760570047472e-06
