edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
ANDRADINA,Andradina,1992,1800.0,2084.3,,20.0,2111.5045146879634
ARARAQUARA,Araraquara,1992,2566.7,2109.5,1849.1,180.0,2074.6010328644284
ARACATUBA,Araçatuba,1992,1860.3,2131.3,2232.8,2345.0,2614.029216534188
ASSIS,Assis,1992,1995.3,1855.4,2238.5,87118.0,2070.0508343439205
AVARE,Avaré,1992,2190.1,1852.2,2550.0,3630.0,2760.897093934149
BARRETOS,Barretos,1992,2438.1,2490.5,2309.1,21575.0,2177.6583565298183
BOTUCATU,Botucatu,1992,1700.0,1336.4,1600.0,300.0,1883.3722960064285
CAMPINAS,Campinas,1992,1658.4,2280.0,,610.0,2482.076091769595
FERNANDOPOLIS,Fernandópolis,1992,1676.1,2126.2,834.5,920.0,2079.1065127385455
FRANCA,Franca,1992,2811.6,1727.9,2475.4,12760.0,2847.5244310394132
GENERAL SALGADO,General Salgado,1992,2303.9,2569.7,2452.9,1268.0,2616.67191492622
ITAPETININGA,Itapetininga,1992,2142.9,1642.1,1800.0,350.0,2159.0216417245847
ITAPEVA,Itapeva,1992,3240.0,2941.5,,5000.0,3334.8192311133785
LIMEIRA,Limeira,1992,2040.0,2450.0,4108.9,200.0,3280.054134825354
MOGI MIRIM,Mogi Mirim,1992,2114.3,1900.0,2733.3,1050.0,3364.6260290863693
ORLANDIA,Orlândia,1992,2130.1,1894.7,2146.9,74940.0,2119.214081085741
OURINHOS,Ourinhos,1992,1573.6,2247.8,1516.9,2650.0,2035.0863164541759
PRESIDENTE PRUDENTE,Presidente Prudente,1992,1680.0,1573.0,1515.8,1850.0,1746.0425116105625
SOROCABA,Sorocaba,1992,2250.0,1200.0,,800.0,1957.5980210023504
SAO JOSE DO RIO PRETO,São José do Rio Preto,1992,1740.8,1943.5,1799.6,2423.0,1852.211303750197
SAO JOAO DA BOA VISTA,São João da Boa Vista,1992,1788.3,1560.0,1930.9,770.0,1998.406808200575
ANDRADINA,Andradina,1993,2273.9,1800.0,2084.3,238.0,2029.1236994121132
ARARAQUARA,Araraquara,1993,2287.5,2566.7,2109.5,800.0,2754.762650826488
ARACATUBA,Araçatuba,1993,2202.3,1860.3,2131.3,4596.0,2190.743858514772
ASSIS,Assis,1993,2645.0,1995.3,1855.4,105360.0,1894.0075249165973
AVARE,Avaré,1993,2057.6,2190.1,1852.2,5250.0,2089.8745200796056
BARRETOS,Barretos,1993,1805.9,2438.1,2490.5,32640.0,2137.909531273096
BOTUCATU,Botucatu,1993,1650.0,1700.0,1336.4,300.0,1920.2858046074202
CAMPINAS,Campinas,1993,4545.9,1658.4,2280.0,1110.0,2157.849368882236
FERNANDOPOLIS,Fernandópolis,1993,1743.4,1676.1,2126.2,1430.0,1886.2803042972232
FRANCA,Franca,1993,2381.6,2811.6,1727.9,10815.0,2117.939912016376
GENERAL SALGADO,General Salgado,1993,2807.7,2303.9,2569.7,2808.0,2330.2026404405087
ITAPETININGA,Itapetininga,1993,2312.2,2142.9,1642.1,820.0,1651.8685807992529
ITAPEVA,Itapeva,1993,2803.1,3240.0,2941.5,6400.0,3481.527361533441
LIMEIRA,Limeira,1993,2086.3,2040.0,2450.0,1205.0,2616.494952697342
MOGI MIRIM,Mogi Mirim,1993,2192.3,2114.3,1900.0,1300.0,2489.2041922165495
ORLANDIA,Orlândia,1993,1989.5,2130.1,1894.7,91060.0,2024.241978950106
OURINHOS,Ourinhos,1993,2091.9,1573.6,2247.8,3553.0,2075.331910591828
PRESIDENTE PRUDENTE,Presidente Prudente,1993,1833.6,1680.0,1573.0,5765.0,1598.8307984258672
PRESIDENTE VENCESLAU,Presidente Venceslau,1993,1800.0,,1500.0,320.0,2103.506186975393
SOROCABA,Sorocaba,1993,2314.3,2250.0,1200.0,1050.0,1907.277122172888
SAO JOSE DO RIO PRETO,São José do Rio Preto,1993,1815.0,1740.8,1943.5,1954.0,2113.382713450363
SAO JOAO DA BOA VISTA,São João da Boa Vista,1993,1894.1,1788.3,1560.0,1020.0,1745.0164152384323
ANDRADINA,Andradina,1994,2528.3,2273.9,1800.0,1162.0,2353.902799840155
ARARAQUARA,Araraquara,1994,2361.5,2287.5,2566.7,1090.0,2264.4078562486434
ARACATUBA,Araçatuba,1994,1677.7,2202.3,1860.3,6234.0,2374.819619941712
ASSIS,Assis,1994,1786.6,2645.0,1995.3,147561.0,2801.7129774731898
