edr_chave,edr,ano,rendimento_a1,previsto,mae,capacidade,producao_prevista_unid,producao_prevista_t,anom_critica_pct,anom_secundaria_pct,tmin_fria,delta_bienal,razao_preco
ASSIS,Assis,2026,4365.3,4540.568,936.463,127825.0,9673302.0,580398.0,-7.3,31.6,6.9,1082.0,1.037
ITAPEVA,Itapeva,2026,6243.1,6318.585,900.026,60543.0,6375768.0,382546.0,-41.5,-6.8,4.1,-599.3999999999996,1.037
OURINHOS,Ourinhos,2026,4884.5,3755.768,788.908,77750.0,4866849.0,292011.0,-26.2,10.7,7.2,1567.9,1.037
AVARE,Avaré,2026,5644.3,5094.395,495.387,32740.0,2779842.0,166791.0,-38.7,0.6,7.0,908.6000000000004,1.037
PRESIDENTE PRUDENTE,Presidente Prudente,2026,4978.6,3786.589,653.657,38426.12,2425065.0,145504.0,-23.4,38.0,6.7,1470.4000000000005,1.037
ITAPETININGA,Itapetininga,2026,6282.5,6232.14,600.858,20902.0,2171070.0,130264.0,-49.5,-9.3,5.5,1951.3000000000002,1.037
SAO JOAO DA BOA VISTA,São João da Boa Vista,2026,7067.0,6155.279,746.014,7400.0,759151.0,45549.0,-19.2,-15.6,5.9,563.3999999999996,1.037
ORLANDIA,Orlândia,2026,4082.5,4788.649,693.737,6330.0,505202.0,30312.0,-9.9,-23.4,9.7,555.0,1.037
SOROCABA,Sorocaba,2026,5897.5,5494.156,658.193,5458.0,499785.0,29987.0,-35.0,-7.8,7.0,1149.1999999999998,1.037
LIMEIRA,Limeira,2026,5476.3,4961.92,698.755,5195.0,429620.0,25777.0,-11.3,2.1,7.4,-246.89999999999964,1.037
PRESIDENTE VENCESLAU,Presidente Venceslau,2026,4980.6,4216.466,478.516,4792.0,336755.0,20205.0,-29.0,55.0,6.4,641.6000000000004,1.037
BARRETOS,Barretos,2026,5503.1,5038.678,822.929,3840.0,322475.0,19348.0,2.5,13.2,10.0,1864.5000000000005,1.037
BOTUCATU,Botucatu,2026,3162.6,3665.181,446.354,4834.0,295291.0,17717.0,-35.8,-5.6,7.4,16.799999999999727,1.037
FRANCA,Franca,2026,5513.5,5248.412,433.673,3250.0,284289.0,17057.0,-9.3,-26.8,9.4,954.3000000000002,1.037
MOGI MIRIM,Mogi Mirim,2026,5715.5,4949.386,486.492,2974.0,245325.0,14720.0,-14.8,-2.3,6.3,701.1999999999998,1.037
GENERAL SALGADO,General Salgado,2026,4904.5,3909.929,524.039,2625.0,171059.0,10264.0,-17.8,45.4,9.2,1510.6999999999998,1.037
CAMPINAS,Campinas,2026,4716.3,4642.851,770.32,1863.0,144161.0,8650.0,-22.6,-10.5,7.1,-433.6999999999998,1.037
ARARAQUARA,Araraquara,2026,2741.4,2684.678,642.442,2970.0,132892.0,7974.0,-19.0,-7.9,7.5,1158.6000000000001,1.037
SAO JOSE DO RIO PRETO,São José do Rio Preto,2026,4471.9,4057.051,536.059,1163.1,78646.0,4719.0,7.0,27.2,9.0,1471.8999999999996,1.037
ANDRADINA,Andradina,2026,4624.0,4427.221,968.433,1040.0,76738.0,4604.0,-32.4,50.9,8.6,-90.30000000000018,1.037
FERNANDOPOLIS,Fernandópolis,2026,3970.6,4028.168,459.787,1020.0,68479.0,4109.0,-10.3,39.9,11.9,212.5,1.037
ARACATUBA,Araçatuba,2026,5008.3,3281.389,724.464,1177.6,64403.0,3864.0,-24.2,35.0,7.9,2362.7000000000003,1.037
