edr_chave,edr,ano,rendimento_a1,previsto_kg_ha,mae_kg_ha,area_ha,producao_prevista_sc60,anom_florada_pct,anom_enchimento_pct,tmin_inverno_anterior,delta_bienal,razao_preco
FRANCA,Franca,2026,1602.0,1457.0,423.0,68862.0,1672199.0,-32.4,3.8,4.6,-82.0,1.345
SAO JOAO DA BOA VISTA,São João da Boa Vista,2026,1436.0,1413.0,176.0,41696.0,981941.0,-36.0,-6.9,3.9,-122.0,1.345
OURINHOS,Ourinhos,2026,1860.0,1772.0,106.0,11253.0,332339.0,-30.0,-26.6,1.6,51.0,1.345
MARILIA,Marília,2026,1258.0,1342.0,182.0,13033.58,291518.0,-20.8,-10.3,1.7,74.0,1.345
BRAGANCA PAULISTA,Bragança Paulista,2026,1734.0,1545.0,108.0,7294.5,187833.0,-41.8,-21.2,2.0,111.0,1.345
JAU,Jaú,2026,1280.0,1397.0,167.0,6794.8,158206.0,-32.0,-25.6,1.3,-193.0,1.345
RIBEIRAO PRETO,Ribeirão Preto,2026,1737.0,1544.0,192.0,5493.0,141353.0,-32.0,3.3,3.5,203.0,1.345
AVARE,Avaré,2026,1532.0,1510.0,112.0,4907.0,123493.0,-33.7,-40.9,1.4,31.0,1.345
ORLANDIA,Orlândia,2026,1914.0,2022.0,306.0,2109.0,71073.0,-40.6,6.9,5.2,-106.0,1.345
ARARAQUARA,Araraquara,2026,1149.0,1249.0,159.0,2349.0,48898.0,-36.4,-3.4,2.7,-53.0,1.345
BOTUCATU,Botucatu,2026,1371.0,1319.0,98.0,2174.2,47796.0,-38.0,-29.9,1.6,2.0,1.345
MOGI MIRIM,Mogi Mirim,2026,904.0,978.0,120.0,1457.4,23756.0,-37.6,-10.1,3.3,-168.0,1.345
TUPA,Tupã,2026,841.0,749.0,210.0,1595.4,19916.0,-18.7,-12.3,1.6,332.0,1.345
DRACENA,Dracena,2026,1241.0,1072.0,135.0,620.0,11077.0,-36.9,-19.6,2.5,124.0,1.345
