edr_chave,edr,ano,previsto,mae,rendimento_a1,capacidade,producao_prevista_unid,producao_prevista_t
PRESIDENTE PRUDENTE,Presidente Prudente,2026,3209.302,423.353,3936.5,20405.0,2619432.0,65486.0
TUPA,Tupã,2026,3269.456,408.839,3645.1,19170.0,2507019.0,62675.0
JABOTICABAL,Jaboticabal,2026,3171.649,360.795,3138.4,18950.0,2404110.0,60103.0
MARILIA,Marília,2026,3516.091,352.665,4229.2,14714.0,2069431.0,51736.0
SAO JOSE DO RIO PRETO,São José do Rio Preto,2026,3628.081,258.51,2898.0,12523.0,1817378.0,45434.0
ASSIS,Assis,2026,3014.854,369.29,3332.1,14700.0,1772734.0,44318.0
DRACENA,Dracena,2026,3182.391,368.175,3618.7,10890.0,1386250.0,34656.0
RIBEIRAO PRETO,Ribeirão Preto,2026,3632.147,345.375,2776.7,9355.0,1359149.0,33979.0
PRESIDENTE VENCESLAU,Presidente Venceslau,2026,2872.891,436.267,2641.1,11383.0,1308085.0,32702.0
LINS,Lins,2026,4066.337,435.656,3239.2,7905.0,1285776.0,32144.0
BAURU,Bauru,2026,3721.641,441.379,4005.3,7726.0,1150136.0,28753.0
BARRETOS,Barretos,2026,3745.545,381.799,3704.1,5984.5,896609.0,22415.0
GENERAL SALGADO,General Salgado,2026,3510.75,346.426,4011.2,5542.0,778263.0,19457.0
ARACATUBA,Araçatuba,2026,3788.243,404.102,4499.2,5057.1,766301.0,19158.0
CATANDUVA,Catanduva,2026,3928.836,351.561,3218.9,4180.0,656901.0,16423.0
ARARAQUARA,Araraquara,2026,3206.509,278.313,3007.1,3885.0,498291.0,12457.0
ANDRADINA,Andradina,2026,3127.352,430.438,3728.7,1700.0,212660.0,5316.0
ORLANDIA,Orlândia,2026,4138.276,712.672,4500.0,100.0,16553.0,414.0
