edr_chave,edr,ano,previsto,mae,rendimento_a1,capacidade,producao_prevista_unid,producao_prevista_t
FRANCA,Franca,2026,1914.351,379.864,1602.2,68862.0,2197101.0,131826.0
SAO JOAO DA BOA VISTA,São João da Boa Vista,2026,1456.367,189.434,1436.1,41696.0,1012078.0,60725.0
MARILIA,Marília,2026,1471.622,243.143,1258.4,13033.58,319675.0,19180.0
OURINHOS,Ourinhos,2026,1565.636,156.551,1859.6,11253.0,293635.0,17618.0
BRAGANCA PAULISTA,Bragança Paulista,2026,1669.35,126.285,1733.8,7294.5,202951.0,12177.0
JAU,Jaú,2026,1733.045,240.531,1280.0,6794.8,196262.0,11776.0
RIBEIRAO PRETO,Ribeirão Preto,2026,1756.224,167.539,1736.6,5493.0,160782.0,9647.0
AVARE,Avaré,2026,1570.387,123.324,1532.2,4907.0,128431.0,7706.0
ORLANDIA,Orlândia,2026,2281.529,291.513,1914.3,2109.0,80196.0,4812.0
BOTUCATU,Botucatu,2026,1241.392,117.699,1370.7,2174.2,44984.0,2699.0
ARARAQUARA,Araraquara,2026,1069.363,222.098,1148.8,2349.0,41866.0,2512.0
BAURU,Bauru,2026,1367.006,178.58,2300.3,1239.0,28229.0,1694.0
MOGI MIRIM,Mogi Mirim,2026,1099.886,228.152,903.6,1457.4,26716.0,1603.0
TUPA,Tupã,2026,690.917,195.268,841.3,1595.4,18371.0,1102.0
LINS,Lins,2026,1306.027,220.206,901.5,648.45,14115.0,847.0
DRACENA,Dracena,2026,1065.565,159.193,1241.1,620.0,11011.0,661.0
