edr_chave,edr,ano,previsto,mae,rendimento_a1,capacidade,producao_prevista_unid,producao_prevista_t
BARRETOS,Barretos,2026,1.645,0.127,1.8696,14524224.0,23892348.0,974808.0
BOTUCATU,Botucatu,2026,2.106,0.188,2.0668,9135500.0,19239363.0,784966.0
OURINHOS,Ourinhos,2026,2.414,0.248,2.5697,7804500.0,18840063.0,768675.0
ITAPETININGA,Itapetininga,2026,2.41,0.172,2.4392,7169085.0,17277495.0,704922.0
BAURU,Bauru,2026,1.8,0.207,1.9761,9111753.0,16401155.0,669167.0
SAO JOAO DA BOA VISTA,São João da Boa Vista,2026,2.251,0.203,2.5955,7184000.0,16171184.0,659784.0
ARARAQUARA,Araraquara,2026,1.351,0.104,1.3483,9729705.0,13144831.0,536309.0
MOGI MIRIM,Mogi Mirim,2026,1.207,0.165,1.1831,9992528.0,12060981.0,492088.0
SAO JOSE DO RIO PRETO,São José do Rio Preto,2026,1.999,0.167,2.4786,5786901.0,11568015.0,471975.0
FRANCA,Franca,2026,2.172,0.263,2.3087,3758587.0,8163651.0,333077.0
JALES,Jales,2026,2.93,0.299,3.0412,2764270.0,8099311.0,330452.0
JABOTICABAL,Jaboticabal,2026,2.176,0.174,2.0783,3524064.0,7668363.0,312869.0
ITAPEVA,Itapeva,2026,2.824,0.421,3.6361,2456301.0,6936594.0,283013.0
AVARE,Avaré,2026,1.822,0.25,1.9498,3714100.0,6767090.0,276097.0
JAU,Jaú,2026,1.903,0.212,1.9575,3555130.0,6765412.0,276029.0
LINS,Lins,2026,2.229,0.214,2.402,2928716.0,6528108.0,266347.0
FERNANDOPOLIS,Fernandópolis,2026,2.44,0.196,2.4507,2218311.0,5412679.0,220837.0
LIMEIRA,Limeira,2026,1.459,0.117,1.3259,3573000.0,5213007.0,212691.0
CATANDUVA,Catanduva,2026,2.394,0.156,3.2556,1546180.0,3701555.0,151023.0
GENERAL SALGADO,General Salgado,2026,1.891,0.322,1.9672,1836170.0,3472197.0,141666.0
VOTUPORANGA,Votuporanga,2026,2.398,0.195,2.35,1409482.0,3379938.0,137901.0
SOROCABA,Sorocaba,2026,2.4,0.246,2.4817,998175.0,2395620.0,97741.0
PIRACICABA,Piracicaba,2026,1.78,0.128,1.7795,907100.0,1614638.0,65877.0
RIBEIRAO PRETO,Ribeirão Preto,2026,2.119,0.144,2.6202,650142.0,1377651.0,56208.0
