edr_chave,edr,ano,previsto,mae,rendimento_a1,capacidade,producao_prevista_unid,producao_prevista_t
ASSIS,Assis,2026,4540.568,936.463,4365.3,127825.0,9673302.0,580398.0
ITAPEVA,Itapeva,2026,6318.585,900.026,6243.1,60543.0,6375768.0,382546.0
OURINHOS,Ourinhos,2026,3755.768,788.908,4884.5,77750.0,4866849.0,292011.0
AVARE,Avaré,2026,5094.395,495.387,5644.3,32740.0,2779842.0,166791.0
PRESIDENTE PRUDENTE,Presidente Prudente,2026,3786.589,653.657,4978.6,38426.12,2425065.0,145504.0
ITAPETININGA,Itapetininga,2026,6232.14,600.858,6282.5,20902.0,2171070.0,130264.0
SAO JOAO DA BOA VISTA,São João da Boa Vista,2026,6155.279,746.014,7067.0,7400.0,759151.0,45549.0
ORLANDIA,Orlândia,2026,4788.649,693.737,4082.5,6330.0,505202.0,30312.0
SOROCABA,Sorocaba,2026,5494.156,658.193,5897.5,5458.0,499785.0,29987.0
LIMEIRA,Limeira,2026,4961.92,698.755,5476.3,5195.0,429620.0,25777.0
PRESIDENTE VENCESLAU,Presidente Venceslau,2026,4216.466,478.516,4980.6,4792.0,336755.0,20205.0
BARRETOS,Barretos,2026,5038.678,822.929,5503.1,3840.0,322475.0,19348.0
BOTUCATU,Botucatu,2026,3665.181,446.354,3162.6,4834.0,295291.0,17717.0
FRANCA,Franca,2026,5248.412,433.673,5513.5,3250.0,284289.0,17057.0
MOGI MIRIM,Mogi Mirim,2026,4949.386,486.492,5715.5,2974.0,245325.0,14720.0
GENERAL SALGADO,General Salgado,2026,3909.929,524.039,4904.5,2625.0,171059.0,10264.0
CAMPINAS,Campinas,2026,4642.851,770.32,4716.3,1863.0,144161.0,8650.0
ARARAQUARA,Araraquara,2026,2684.678,642.442,2741.4,2970.0,132892.0,7974.0
SAO JOSE DO RIO PRETO,São José do Rio Preto,2026,4057.051,536.059,4471.9,1163.1,78646.0,4719.0
ANDRADINA,Andradina,2026,4427.221,968.433,4624.0,1040.0,76738.0,4604.0
FERNANDOPOLIS,Fernandópolis,2026,4028.168,459.787,3970.6,1020.0,68479.0,4109.0
ARACATUBA,Araçatuba,2026,3281.389,724.464,5008.3,1177.6,64403.0,3864.0
